feature,mean_importance
name_j,-0.01924826028997766
employed_i,-0.014151170090793853
married_i,-0.009178885794825986
university_i,-0.00596445661411249
name_i,-2.0322753691870422e-05
households_i,0.0028189546079035012
unhealthy_j,0.006216644288568318
employed_j,0.007579943724255256
university_j,0.009640785182903566
nonwhite_i,0.010643865270481823
unhealthy_i,0.013032049844956128
households_j,0.016308744760451622
married_j,0.0192405642847153
nonwhite_j,0.06506516353210334
density_i,0.1002981480997585
population_j,0.3056453281962563
density_j,0.3401272249568814
population_i,0.41201499647171963
distance,1.77185128953495
