station_origin,station_destination,flows,population,jobs,distance
Abbey Road,Bank and Monument,0 ,599 ,78549 ,8131.525096864170000 
Abbey Road,Beckton,1 ,599 ,442 ,8510.121773987860000 
Abbey Road,Blackwall,3 ,599 ,665 ,3775.448872076430000 
Abbey Road,Canary Wharf,1 ,599 ,58772 ,5086.514219663480000 
Abbey Road,Canning Town,37 ,599 ,15428 ,2228.923167328640000 
Abbey Road,Crossharbour,1 ,599 ,1208 ,6686.475559947150000 
Abbey Road,Custom House,0 ,599 ,845 ,3824.855629892700000 
Abbey Road,Cutty Sark,2 ,599 ,1748 ,8503.898908948270000 
Abbey Road,Cyprus,7 ,599 ,850 ,6532.099617536270000 
Abbey Road,Devons Road,1 ,599 ,611 ,3958.324170837420000 
Abbey Road,East India,2 ,599 ,1522 ,3384.141666474380000 
Abbey Road,Island Gardens,2 ,599 ,691 ,7706.296370373650000 
Abbey Road,King George V,5 ,599 ,800 ,6806.021039115860000 
Abbey Road,Langdon Park,8 ,599 ,1989 ,4810.672967127670000 
Abbey Road,Lewisham,0 ,599 ,2400 ,11213.451493921800000 
Abbey Road,Limehouse,2 ,599 ,2969 ,6154.537881349280000 
Abbey Road,London City Airport,4 ,599 ,1941 ,5777.444147788590000 
Abbey Road,Pontoon Dock,8 ,599 ,1123 ,4636.094118126450000 
Abbey Road,Poplar,0 ,599 ,1301 ,4498.407429528330000 
Abbey Road,Prince Regent,1 ,599 ,754 ,4349.342508701430000 
Abbey Road,Royal Albert,4 ,599 ,684 ,5237.762991179850000 
Abbey Road,Shadwell,1 ,599 ,7447 ,6583.570466258240000 
Abbey Road,South Quay,7 ,599 ,4591 ,6089.728056124610000 
Abbey Road,Star Lane,7 ,599 ,1052 ,1397.494084997120000 
Abbey Road,Stratford,285 ,599 ,55954 ,1174.511374830750000 
Abbey Road,Stratford High Street,10 ,599 ,788 ,655.211301286827000 
Abbey Road,Stratford International,33 ,599 ,1546 ,2495.579491944630000 
Abbey Road,West Ham,130 ,599 ,5487 ,533.842421695111000 
Abbey Road,West Silvertown,2 ,599 ,893 ,3880.048228253930000 
Abbey Road,Westferry,3 ,599 ,1250 ,5180.920874269290000 
Abbey Road,Woolwich Arsenal,32 ,599 ,4428 ,9235.296782445400000 
