station_origin,station_destination,SIM_est_1beta,SIM_est_2beta,SIM_est_3beta,SIM_est_5beta,flows,prodsimest4
Abbey Road,Bank and Monument,77,52,41,32,0,83
Abbey Road,Beckton,3,2,1,0,1,2
Abbey Road,Blackwall,4,3,3,3,3,4
Abbey Road,Canary Wharf,112,113,109,101,1,63
Abbey Road,Canning Town,48,63,73,94,37,60
Abbey Road,Crossharbour,5,3,2,1,1,4
Abbey Road,Custom House,5,5,4,3,0,5
Abbey Road,Cutty Sark,6,3,1,0,2,4
Abbey Road,Cyprus,5,4,2,1,7,3
Abbey Road,Devons Road,4,3,3,2,1,4
Abbey Road,East India,9,8,7,7,2,9
Abbey Road,Island Gardens,3,1,1,0,2,2
Abbey Road,King George V,4,2,1,0,5,3
Abbey Road,Langdon Park,10,8,6,5,8,9
Abbey Road,Lewisham,9,4,1,0,0,4
Abbey Road,Limehouse,13,9,7,6,2,10
Abbey Road,London City Airport,11,6,3,1,4,7
Abbey Road,Pontoon Dock,7,5,3,1,8,6
Abbey Road,Poplar,6,5,4,3,0,7
Abbey Road,Prince Regent,5,4,4,2,1,4
Abbey Road,Royal Albert,4,4,3,1,4,4
Abbey Road,Shadwell,15,11,9,7,1,18
Abbey Road,South Quay,19,12,9,5,7,13
Abbey Road,Star Lane,9,9,10,13,7,9
Abbey Road,Stratford,123,179,213,232,285,187
Abbey Road,Stratford High Street,9,9,8,8,10,8
Abbey Road,Stratford International,14,13,11,7,33,10
Abbey Road,West Ham,21,31,38,52,130,36
Abbey Road,West Silvertown,6,5,4,2,2,5
Abbey Road,Westferry,6,4,3,3,3,6
Abbey Road,Woolwich Arsenal,31,22,15,6,32,8
Acton Central,Barking,3,0,0,0,0,3
Acton Central,Blackhorse Road,5,0,0,0,0,7
Acton Central,Brondesbury,19,17,11,4,76,17
Acton Central,Brondesbury Park,28,24,17,7,31,22
Acton Central,Bushey,4,0,0,0,0,1
Acton Central,Caledonian Road & Barnsbury,10,3,1,0,22,10
Acton Central,Camden Road,28,12,5,1,52,24
Acton Central,Canada Water,18,2,0,0,0,29
Acton Central,Canonbury,3,1,0,0,3,5
Acton Central,Carpenders Park,4,0,0,0,0,2
Acton Central,Crouch Hill,5,1,0,0,2,4
Acton Central,Dalston Kingsland,8,1,0,0,5,7
Acton Central,Denmark Hill,9,1,0,0,0,6
Acton Central,Edmonton Green,1,0,0,0,0,1
Acton Central,Euston,55,23,11,3,17,81
Acton Central,Finchley Road & Frognal,28,20,11,3,52,24
Acton Central,Gospel Oak,23,12,6,1,18,20
Acton Central,Gunnersbury,125,224,272,316,102,135
Acton Central,Hackney Central,8,1,0,0,10,7
Acton Central,Hackney Wick,3,0,0,0,5,3
Acton Central,Haggerston,4,1,0,0,2,4
Acton Central,Hampstead Heath,37,24,13,3,59,30
Acton Central,Harlesden,35,54,53,28,0,45
Acton Central,Harringay Green Lanes,5,1,0,0,3,4
Acton Central,Harrow & Wealdstone,17,6,1,0,3,10
Acton Central,Hatch End,1,0,0,0,0,1
Acton Central,Headstone Lane,6,1,0,0,4,2
Acton Central,Highams Park,1,0,0,0,0,1
Acton Central,Highbury & Islington,44,11,3,0,49,68
Acton Central,Homerton,5,1,0,0,3,5
Acton Central,Hoxton,6,1,0,0,4,6
Acton Central,Kensal Green,10,15,18,14,0,17
Acton Central,Kensal Rise,45,54,48,31,39,36
Acton Central,Kentish Town West,10,5,2,0,54,11
Acton Central,Kenton,13,4,1,0,2,9
Acton Central,Kew Gardens,19,27,21,7,18,26
Acton Central,Kilburn High Road,16,11,7,3,0,7
Acton Central,Leyton Midland Road,1,0,0,0,0,1
Acton Central,Leytonstone High Road,1,0,0,0,0,1
Acton Central,New Cross,3,0,0,0,1,2
Acton Central,New Cross Gate,2,0,0,0,0,3
Acton Central,North Wembley,7,4,1,0,0,7
Acton Central,Queen's Park,27,38,42,35,0,43
Acton Central,Richmond,132,224,253,260,318,81
Acton Central,Shadwell,12,1,0,0,0,15
Acton Central,Shoreditch High Street,19,2,0,0,4,14
Acton Central,South Acton,103,162,202,290,7,47
Acton Central,South Hampstead,14,9,6,2,3,6
Acton Central,South Kenton,5,2,0,0,0,5
Acton Central,South Tottenham,5,1,0,0,0,3
Acton Central,Stonebridge Park,14,18,12,2,0,19
Acton Central,Stratford,24,1,0,0,11,40
Acton Central,Surrey Quays,2,0,0,0,0,3
Acton Central,Upper Holloway,10,4,1,0,4,8
Acton Central,Watford High Street,6,0,0,0,3,2
Acton Central,Watford Junction,11,1,0,0,5,2
Acton Central,Wembley Central,23,23,10,1,1,23
Acton Central,West Hampstead,44,33,17,3,141,72
Acton Central,White Hart Lane,1,0,0,0,0,1
Acton Central,Whitechapel,18,3,0,0,1,32
Acton Central,Willesden Junction,76,136,178,211,90,106
Acton Central,Woodgrange Park,0,0,0,0,0,0
Acton Town,Aldgate,11,4,1,0,3,13
Acton Town,Aldgate East,10,3,1,0,17,13
Acton Town,Alperton,17,13,5,0,35,14
Acton Town,Amersham,0,0,0,0,0,0
Acton Town,Angel,12,5,2,0,11,16
Acton Town,Archway,4,1,0,0,1,4
Acton Town,Arnos Grove,1,0,0,0,1,1
Acton Town,Arsenal,0,0,0,0,0,1
Acton Town,Baker Street,39,26,16,5,19,45
Acton Town,Balham,7,1,0,0,0,6
Acton Town,Bank and Monument,102,40,15,2,66,93
Acton Town,Barbican,11,4,1,0,9,15
Acton Town,Barking,2,0,0,0,1,2
Acton Town,Barkingside,0,0,0,0,0,0
Acton Town,Barons Court,31,59,80,102,84,37
Acton Town,Bayswater,4,4,3,2,3,6
Acton Town,Becontree,0,0,0,0,0,0
Acton Town,Belsize Park,4,2,0,0,0,5
Acton Town,Bermondsey,5,2,1,0,6,7
Acton Town,Bethnal Green,4,1,0,0,2,7
Acton Town,Blackfriars,20,10,5,1,39,25
Acton Town,Blackhorse Road,2,0,0,0,0,2
Acton Town,Bond Street,51,33,21,10,27,56
Acton Town,Borough,5,2,1,0,1,9
Acton Town,Boston Manor,25,32,18,3,62,20
Acton Town,Bounds Green,1,0,0,0,1,1
Acton Town,Bow Road,1,0,0,0,1,2
Acton Town,Brixton,12,5,2,0,16,11
Acton Town,Bromley-by-Bow,1,0,0,0,2,2
Acton Town,Burnt Oak,1,0,0,0,0,0
Acton Town,Caledonian Road,3,1,0,0,2,5
Acton Town,Camden Town,12,5,2,0,3,15
Acton Town,Canada Water,19,5,1,0,11,24
Acton Town,Canary Wharf,44,8,1,0,57,21
Acton Town,Canning Town,8,1,0,0,3,9
Acton Town,Cannon Street,8,3,1,0,18,11
Acton Town,Canons Park,1,0,0,0,0,1
Acton Town,Chalfont & Latimer,0,0,0,0,0,0
Acton Town,Chalk Farm,3,1,0,0,0,4
Acton Town,Chancery Lane,29,16,8,3,20,35
Acton Town,Charing Cross,16,10,6,3,5,24
Acton Town,Chiswick Park,40,96,139,191,20,42
Acton Town,Chorleywood,0,0,0,0,1,0
Acton Town,Clapham Common,4,1,0,0,3,5
Acton Town,Clapham North,3,1,0,0,1,4
Acton Town,Clapham South,3,1,0,0,2,4
Acton Town,Cockfosters,0,0,0,0,0,0
Acton Town,Colindale,3,0,0,0,0,1
Acton Town,Colliers Wood,1,0,0,0,0,1
Acton Town,Covent Garden,10,6,4,2,44,16
Acton Town,Croxley,0,0,0,0,0,0
Acton Town,Dagenham East,0,0,0,0,0,0
Acton Town,Dagenham Heathway,0,0,0,0,0,0
Acton Town,Dollis Hill,2,0,0,0,0,3
Acton Town,Ealing Broadway,133,296,358,343,107,82
