station_destination,Est_secA,flow_sum,change_secA,Est_secB_2β,Change_secB_2β,Est_secB_3β,Change_secB_3β,Est_secB_5β,Change_secB_5β
Abbey Road,411,345,66,343,-2,346,1,343,-2
Acton Central,359,750,-391,750,0,748,-2,750,0
Acton Town,2172,2202,-30,2182,-20,2193,-9,2194,-8
Aldgate,8638,7782,856,7779,-3,7779,-3,7773,-9
Aldgate East,9612,7932,1680,7936,4,7930,-2,7920,-12
All Saints,578,444,134,441,-3,446,2,446,2
Alperton,621,741,-120,734,-7,740,-1,740,-1
Amersham,167,256,-89,255,-1,256,0,255,-1
Anerley,170,173,-3,170,-3,172,-1,172,-1
Angel,9965,8103,1862,8111,8,8100,-3,8097,-6
Archway,2233,2193,40,2183,-10,2174,-19,2188,-5
Arnos Grove,560,748,-188,729,-19,748,0,747,-1
Arsenal,673,315,358,298,-17,296,-19,311,-4
Baker Street,16109,14973,1136,14974,1,14969,-4,14969,-4
Balham,3043,3814,-771,3818,4,3800,-14,3814,0
Bank and Monument,70019,78549,-8530,78556,7,78550,1,78545,-4
Barbican,11338,9134,2204,9132,-2,9129,-5,9131,-3
Barking,5584,7004,-1420,6985,-19,6998,-6,7000,-4
Barkingside,241,262,-21,262,0,259,-3,262,0
Barons Court,3386,2956,430,2952,-4,2947,-9,2941,-15
Bayswater,924,615,309,612,-3,611,-4,605,-10
Beckton,261,442,-181,441,-1,440,-2,441,-1
Beckton Park,94,88,6,87,-1,87,-1,86,-2
Becontree,401,456,-55,452,-4,456,0,457,1
Belsize Park,2381,2255,126,2258,3,2247,-8,2248,-7
Bermondsey,4198,3172,1026,3169,-3,3156,-16,3161,-11
Bethnal Green,7245,4660,2585,4663,3,4656,-4,4648,-12
Blackfriars,12570,10848,1722,10850,2,10846,-2,10842,-6
Blackhorse Road,3052,2955,97,2929,-26,2944,-11,2952,-3
Blackwall,813,665,148,665,0,668,3,668,3
Bond Street,21796,20967,829,20964,-3,20966,-1,20967,0
Borough,4919,3254,1665,3256,2,3250,-4,3246,-8
Boston Manor,720,892,-172,886,-6,888,-4,893,1
Bounds Green,675,778,-103,759,-19,774,-4,777,-1
Bow Church,864,925,-61,928,3,926,1,924,-1
Bow Road,1944,1193,751,1180,-13,1181,-12,1193,0
Brent Cross,385,450,-65,434,-16,443,-7,450,0
Brentwood,675,742,-67,741,-1,742,0,742,0
Brixton,4437,5084,-647,5082,-2,5077,-7,5066,-18
Brockley,549,468,81,468,0,468,0,467,-1
Bromley-by-Bow,2348,1613,735,1599,-14,1602,-11,1610,-3
Brondesbury,545,712,-167,712,0,709,-3,713,1
Brondesbury Park,616,895,-279,896,1,894,-1,896,1
Bruce Grove,351,350,1,348,-2,349,-1,350,0
Buckhurst Hill,227,228,-1,228,0,228,0,227,-1
Burnt Oak,329,649,-320,640,-9,648,-1,648,-1
Bush Hill Park,161,176,-15,174,-2,175,-1,175,-1
Bushey,281,456,-175,454,-2,455,-1,456,0
Caledonian Road,2813,1803,1010,1793,-10,1790,-13,1785,-18
Caledonian Road & Barnsbury,1404,1668,-264,1671,3,1664,-4,1667,-1
Cambridge Heath,366,458,-92,460,2,459,1,459,1
Camden Road,2808,3784,-976,3783,-1,3784,0,3780,-4
Camden Town,7478,6348,1130,6343,-5,6337,-11,6344,-4
Canada Water,25343,20443,4900,20441,-2,20430,-13,20431,-12
Canary Wharf,29489,58772,-29283,58779,7,58759,-13,58759,-13
Canning Town,17258,15428,1830,15422,-6,15413,-15,15423,-5
Cannon Street,6729,4698,2031,4689,-9,4691,-7,4694,-4
Canonbury,949,846,103,844,-2,845,-1,843,-3
Canons Park,337,526,-189,525,-1,524,-2,525,-1
Carpenders Park,172,340,-168,336,-4,342,2,338,-2
Chadwell Heath,1057,561,496,560,-1,560,-1,561,0
Chalfont & Latimer,520,554,-34,553,-1,554,0,554,0
Chalk Farm,1838,1329,509,1324,-5,1319,-10,1320,-9
Chancery Lane,17147,15391,1756,15390,-1,15389,-2,15384,-7
Charing Cross,9841,7016,2825,7015,-1,7014,-2,7015,-1
Chesham,110,243,-133,242,-1,243,0,243,0
Cheshunt,63,116,-53,116,0,116,0,116,0
Chigwell,142,148,-6,147,-1,148,0,147,-1
Chingford,128,237,-109,236,-1,236,-1,237,0
Chiswick Park,1585,1517,68,1510,-7,1508,-9,1511,-6
Chorleywood,584,702,-118,702,0,702,0,702,0
Clapham Common,2446,2020,426,2018,-2,1998,-22,2016,-4
Clapham High Street,763,1296,-533,1297,1,1294,-2,1294,-2
Clapham Junction,1567,4969,-3402,4971,2,4965,-4,4968,-1
Clapham North,1776,1238,538,1236,-2,1219,-19,1231,-7
Clapham South,1718,1513,205,1503,-10,1499,-14,1513,0
Clapton,354,427,-73,424,-3,425,-2,426,-1
Cockfosters,107,262,-155,259,-3,261,-1,262,0
Colindale,902,2081,-1179,2061,-20,2076,-5,2082,1
Colliers Wood,740,865,-125,848,-17,863,-2,865,0
Covent Garden,6790,4355,2435,4356,1,4351,-4,4353,-2
Crossharbour,1167,1208,-41,1207,-1,1206,-2,1207,-1
Crouch Hill,254,404,-150,403,-1,403,-1,402,-2
Croxley,279,340,-61,339,-1,340,0,340,0
Crystal Palace,246,499,-253,496,-3,499,0,499,0
Custom House,845,845,0,847,2,847,2,843,-2
Cutty Sark,1300,1748,-448,1749,1,1750,2,1744,-4
Cyprus,578,850,-272,851,1,850,0,850,0
Dagenham East,438,649,-211,644,-5,649,0,648,-1
Dagenham Heathway,706,1108,-402,1101,-7,1106,-2,1108,0
Dalston Junction,970,1289,-319,1289,0,1286,-3,1287,-2
Dalston Kingsland,1566,2091,-525,2087,-4,2091,0,2089,-2
Debden,512,865,-353,863,-2,865,0,865,0
Denmark Hill,1631,2612,-981,2613,1,2608,-4,2609,-3
Deptford Bridge,664,840,-176,844,4,837,-3,838,-2
Devons Road,681,611,70,612,1,612,1,614,3
Dollis Hill,1006,847,159,827,-20,839,-8,846,-1
Ealing Broadway,3003,4846,-1843,4838,-8,4844,-2,4843,-3
Ealing Common,1004,915,89,902,-13,911,-4,913,-2
Earl's Court,7322,6613,709,6606,-7,6613,0,6602,-11
East Acton,1433,1505,-72,1501,-4,1494,-11,1502,-3
East Finchley,992,1253,-261,1238,-15,1247,-6,1253,0
East Ham,1986,2062,-76,2044,-18,2060,-2,2059,-3
East India,1571,1522,49,1522,0,1526,4,1523,1
East Putney,1562,1877,-315,1879,2,1863,-14,1869,-8
Eastcote,425,364,61,364,0,362,-2,365,1
Edgware,283,772,-489,761,-11,770,-2,772,0
Edgware Road,8306,6868,1438,6865,-3,6865,-3,6855,-13
Edmonton Green,729,783,-54,781,-2,781,-2,781,-2
Elephant & Castle,8352,6427,1925,6424,-3,6431,4,6423,-4
Elm Park,173,269,-96,269,0,268,-1,268,-1
Elverson Road,227,226,1,226,0,223,-3,225,-1
Embankment,13227,10220,3007,10227,7,10224,4,10222,2
Emerson Park,41,42,-1,42,0,42,0,42,0
Enfield Town,428,749,-321,746,-3,748,-1,748,-1
Epping,131,498,-367,497,-1,497,-1,498,0
Euston,18250,16800,1450,16801,1,16790,-10,16791,-9
Euston Square,8515,8093,422,8096,3,8092,-1,8092,-1
Fairlop,171,182,-11,181,-1,180,-2,180,-2
Farringdon,24407,25592,-1185,25591,-1,25591,-1,25585,-7
Finchley Central,1070,1921,-851,1908,-13,1916,-5,1919,-2
Finchley Road,3724,3417,307,3412,-5,3409,-8,3405,-12
Finchley Road & Frognal,1092,1529,-437,1530,1,1528,-1,1530,1
Finsbury Park,6880,6769,111,6772,3,6757,-12,6755,-14
Forest Gate,1003,816,187,816,0,816,0,816,0
Forest Hill,610,608,2,609,1,606,-2,609,1
Fulham Broadway,4375,4200,175,4194,-6,4199,-1,4190,-10
Gallions Reach,358,557,-199,558,1,557,0,555,-2
Gants Hill,547,601,-54,595,-6,601,0,600,-1
Gidea Park,685,299,386,298,-1,299,0,300,1
Gloucester Road,6348,5194,1154,5199,5,5186,-8,5188,-6
Golders Green,1341,1871,-530,1863,-8,1857,-14,1868,-3
Goldhawk Road,520,370,150,353,-17,363,-7,366,-4
Goodge Street,8417,6457,1960,6454,-3,6465,8,6449,-8
Goodmayes,1257,683,574,682,-1,684,1,683,0
Gospel Oak,1587,2025,-438,2023,-2,2021,-4,2019,-6
Grange Hill,90,76,14,73,-3,78,2,75,-1
Great Portland Street,8305,6936,1369,6936,0,6935,-1,6936,0
Green Park,26737,26754,-17,26756,2,26749,-5,26757,3
Greenford,589,1157,-568,1146,-11,1156,-1,1157,0
Greenwich,941,1189,-248,1190,1,1189,0,1186,-3
Gunnersbury,4120,4775,-655,4773,-2,4766,-9,4772,-3
Hackney Central,1638,2440,-802,2438,-2,2438,-2,2438,-2
Hackney Downs,643,834,-191,834,0,834,0,833,-1
Hackney Wick,1174,1263,-89,1261,-2,1260,-3,1259,-4
Haggerston,1058,1184,-126,1186,2,1183,-1,1184,0
Hainault,253,356,-103,355,-1,355,-1,356,0
Hammersmith,13071,18250,-5179,18249,-1,18253,3,18240,-10
Hampstead,1865,2010,-145,2003,-7,1997,-13,2005,-5
Hampstead Heath,1995,2792,-797,2791,-1,2789,-3,2789,-3
Hanger Lane,887,1493,-606,1480,-13,1486,-7,1493,0
Harlesden,1759,1668,91,1658,-10,1657,-11,1663,-5
Harold Wood,911,530,381,531,1,531,1,530,0
