station_origin,prodsimest4_sum,flow_sum,change_ratio
Leicester Square,969.0,985,-16.0
Parsons Green,4345.0,4361,-16.0
Mile End,7129.0,7145,-16.0
Barbican,1224.0,1239,-15.0
Temple,335.0,349,-14.0
Clapham Common,4895.0,4909,-14.0
Heathrow Terminal 5,925.0,938,-13.0
Hyde Park Corner,246.0,259,-13.0
Charing Cross,6479.0,6491,-12.0
Russell Square,1497.0,1509,-12.0
Plaistow,3622.0,3634,-12.0
Kew Gardens,2229.0,2241,-12.0
Kentish Town,2402.0,2414,-12.0
Borough,1334.0,1346,-12.0
Bermondsey,5090.0,5102,-12.0
West Ham,8867.0,8879,-12.0
Kensington,420.0,432,-12.0
Fulham Broadway,3277.0,3289,-12.0
Hendon Central,4047.0,4059,-12.0
Westbourne Park,2405.0,2416,-11.0
Sloane Square,4946.0,4957,-11.0
Chancery Lane,1137.0,1148,-11.0
Piccadilly Circus,1026.0,1037,-11.0
Marble Arch,1797.0,1808,-11.0
Baker Street,7433.0,7444,-11.0
Mansion House,505.0,516,-11.0
St. John's Wood,3230.0,3240,-10.0
Edgware Road,2831.0,2841,-10.0
East Acton,2346.0,2356,-10.0
Park Royal,549.0,559,-10.0
West Brompton,3821.0,3831,-10.0
Richmond,5147.0,5157,-10.0
Angel,4189.0,4199,-10.0
High Street Kensington,2149.0,2159,-10.0
West Kensington,2706.0,2715,-9.0
Regent's Park,362.0,371,-9.0
Tottenham Hale,8858.0,8867,-9.0
Whitechapel,12272.0,12281,-9.0
Cannon Street,3865.0,3874,-9.0
Oxford Circus,2775.0,2784,-9.0
Goodge Street,357.0,366,-9.0
Chalk Farm,2383.0,2391,-8.0
Lancaster Gate,3506.0,3514,-8.0
Woodford,4860.0,4868,-8.0
Wood Green,6659.0,6667,-8.0
Covent Garden,416.0,424,-8.0
Stepney Green,2723.0,2731,-8.0
Dagenham Heathway,3364.0,3372,-8.0
Swiss Cottage,3523.0,3531,-8.0
Pimlico,3909.0,3917,-8.0
Embankment,4073.0,4081,-8.0
Arsenal,2150.0,2158,-8.0
Knightsbridge,1117.0,1125,-8.0
Leyton,7644.0,7651,-7.0
North Greenwich,10924.0,10931,-7.0
Oval,3612.0,3619,-7.0
Queen's Park,5242.0,5249,-7.0
North Ealing,498.0,505,-7.0
Southwark,4875.0,4882,-7.0
Shepherd's Bush,10504.0,10511,-7.0
East Ham,7895.0,7902,-7.0
Lambeth North,1107.0,1114,-7.0
Holborn,1655.0,1662,-7.0
Westminster,1512.0,1519,-7.0
West Harrow,1014.0,1021,-7.0
Kentish Town West,705.0,712,-7.0
Warwick Avenue,2381.0,2388,-7.0
Upton Park,5956.0,5963,-7.0
Vauxhall,16212.0,16218,-6.0
Wood Lane,1082.0,1088,-6.0
Barking,8194.0,8200,-6.0
Clapham North,2840.0,2846,-6.0
Mornington Crescent,685.0,691,-6.0
Turnpike Lane,6684.0,6690,-6.0
Hainault,3111.0,3117,-6.0
Brent Cross,1488.0,1494,-6.0
Moorgate,4410.0,4416,-6.0
Ladbroke Grove,2365.0,2371,-6.0
Queensway,2708.0,2714,-6.0
Manor House,5454.0,5459,-5.0
Kensal Green,1844.0,1849,-5.0
Fairlop,990.0,995,-5.0
Elephant & Castle,9320.0,9325,-5.0
Holloway Road,3042.0,3047,-5.0
Highgate,4584.0,4589,-5.0
Dollis Hill,2537.0,2542,-5.0
Ealing Broadway,12848.0,12853,-5.0
Gants Hill,5238.0,5243,-5.0
Putney Bridge,2945.0,2950,-5.0
Caledonian Road,2834.0,2839,-5.0
St. Paul's,873.0,878,-5.0
Morden,8030.0,8035,-5.0
Balham,9614.0,9619,-5.0
Canary Wharf,14627.0,14632,-5.0
South Kensington,5025.0,5030,-5.0
Belsize Park,2739.0,2744,-5.0
Archway,5637.0,5642,-5.0
Paddington,23371.0,23376,-5.0
Notting Hill Gate,4940.0,4945,-5.0
Bow Road,4000.0,4005,-5.0
Tottenham Court Road,1768.0,1773,-5.0
Aldgate East,3167.0,3172,-5.0
Perivale,1619.0,1624,-5.0
Euston,17792.0,17796,-4.0
Heathrow Terminals 2 & 3,2195.0,2199,-4.0
Barkingside,1297.0,1301,-4.0
Farringdon,5048.0,5052,-4.0
Epping,2895.0,2899,-4.0
Honor Oak Park,1746.0,1750,-4.0
Great Portland Street,1132.0,1136,-4.0
Wimbledon,7069.0,7073,-4.0
Warren Street,1909.0,1913,-4.0
Enfield Town,1799.0,1803,-4.0
Hammersmith,11814.0,11818,-4.0
Bond Street,2034.0,2038,-4.0
Tower Hill,8497.0,8501,-4.0
South Woodford,4134.0,4138,-4.0
Hampstead Heath,911.0,915,-4.0
Hatton Cross,1353.0,1357,-4.0
Latimer Road,857.0,861,-4.0
Caledonian Road & Barnsbury,539.0,543,-4.0
Earl's Court,8410.0,8414,-4.0
South Hampstead,244.0,248,-4.0
Leytonstone,6686.0,6690,-4.0
Colindale,5385.0,5389,-4.0
Heathrow Terminal 4,807.0,811,-4.0
North Acton,3074.0,3078,-4.0
Upminster,723.0,727,-4.0
Peckham Rye,2403.0,2407,-4.0
Kingsbury,2724.0,2727,-3.0
New Cross,1437.0,1440,-3.0
Newbury Park,4209.0,4212,-3.0
Northwick Park,2111.0,2114,-3.0
Prince Regent,933.0,936,-3.0
South Ruislip,1395.0,1398,-3.0
South Wimbledon,3780.0,3783,-3.0
Sudbury Hill,1334.0,1337,-3.0
Willesden Junction,5263.0,5266,-3.0
Holland Park,1539.0,1542,-3.0
Haggerston,2046.0,2049,-3.0
Woolwich Arsenal,7889.0,7892,-3.0
Finchley Road,4735.0,4738,-3.0
Bromley-by-Bow,2552.0,2555,-3.0
Goldhawk Road,1344.0,1347,-3.0
Cockfosters,997.0,1000,-3.0
Blackwall,949.0,952,-3.0
Blackfriars,6777.0,6780,-3.0
Dagenham East,1921.0,1924,-3.0
Canonbury,2407.0,2410,-3.0
Bank and Monument,29491.0,29494,-3.0
Marylebone,6123.0,6125,-2.0
Chesham,930.0,932,-2.0
Clapham South,6634.0,6636,-2.0
Osterley,1419.0,1421,-2.0
King's Cross St. Pancras,28305.0,28307,-2.0
Langdon Park,1466.0,1468,-2.0
East Finchley,5838.0,5840,-2.0
Norwood Junction,675.0,677,-2.0
North Wembley,1085.0,1087,-2.0
Limehouse,5308.0,5310,-2.0
Rectory Road,951.0,953,-2.0
Cyprus,498.0,500,-2.0
Liverpool Street,31471.0,31473,-2.0
Mill Hill East,1291.0,1293,-2.0
Maida Vale,2140.0,2142,-2.0
Gunnersbury,2272.0,2274,-2.0
South Harrow,1514.0,1516,-2.0
South Ealing,2174.0,2176,-2.0
Wood Street,1365.0,1367,-2.0
All Saints,738.0,740,-2.0
Anerley,641.0,643,-2.0
Barons Court,4050.0,4052,-2.0
West Finchley,1548.0,1550,-2.0
West Croydon,1330.0,1332,-2.0
West Acton,1170.0,1172,-2.0
Watford Junction,489.0,491,-2.0
Watford High Street,465.0,467,-2.0
Waterloo,67312.0,67314,-2.0
Beckton Park,291.0,293,-2.0
Upminster Bridge,778.0,780,-2.0
Turkey Street,799.0,801,-2.0
Boston Manor,1179.0,1181,-2.0
Stamford Brook,1835.0,1837,-2.0
South Kenton,1071.0,1073,-2.0
Kilburn Park,1884.0,1886,-2.0
Royal Oak,1407.0,1409,-2.0
Elm Park,2736.0,2738,-2.0
Abbey Road,597.0,599,-2.0
Homerton,3499.0,3501,-2.0
Hackney Central,3368.0,3370,-2.0
Harlesden,1498.0,1500,-2.0
Forest Gate,2403.0,2405,-2.0
Imperial Wharf,866.0,868,-2.0
Turnham Green,3649.0,3650,-1.0
Hounslow West,2072.0,2073,-1.0
Moor Park,647.0,648,-1.0
Sudbury Town,1492.0,1493,-1.0
Stratford International,2286.0,2287,-1.0
Brondesbury,1976.0,1977,-1.0
Brondesbury Park,690.0,691,-1.0
Croxley,1034.0,1035,-1.0
St. James's Park,1808.0,1809,-1.0
Southgate,3659.0,3660,-1.0
Shenfield,247.0,248,-1.0
Cambridge Heath,327.0,328,-1.0
High Barnet,3270.0,3271,-1.0
Silver Street,1624.0,1625,-1.0
Old Street,5363.0,5364,-1.0
Ruislip Gardens,964.0,965,-1.0
Ruislip,1304.0,1305,-1.0
Clapham High Street,1499.0,1500,-1.0
Chiswick Park,1282.0,1283,-1.0
Greenwich,1373.0,1374,-1.0
Carpenders Park,1328.0,1329,-1.0
Chadwell Heath,3911.0,3912,-1.0
