station_destination,prodsimest4_sum,flow_sum,change_ratio
Canary Wharf,29489.0,58772,-29283.0
Bank and Monument,70019.0,78549,-8530.0
Hammersmith,13071.0,18250,-5179.0
Victoria,28939.0,33251,-4312.0
Oxford Circus,40062.0,44368,-4306.0
Wimbledon,1999.0,6295,-4296.0
Clapham Junction,1567.0,4969,-3402.0
Woolwich Arsenal,1167.0,4428,-3261.0
Uxbridge,1287.0,4316,-3029.0
Paddington,17207.0,20193,-2986.0
Richmond,2620.0,5397,-2777.0
Shoreditch High Street,4787.0,7558,-2771.0
King's Cross St. Pancras,30803.0,33330,-2527.0
London Bridge,27425.0,29926,-2501.0
Vauxhall,13853.0,16242,-2389.0
Heron Quays,4027.0,5975,-1948.0
Ealing Broadway,3003.0,4846,-1843.0
Liverpool Street,59369.0,61122,-1753.0
Heathrow Terminals 2 & 3,717.0,2406,-1689.0
Tooting Broadway,2881.0,4506,-1625.0
Wembley Park,4142.0,5759,-1617.0
Tower Gateway,1839.0,3342,-1503.0
Barking,5584.0,7004,-1420.0
Lewisham,1003.0,2400,-1397.0
West Croydon,654.0,2048,-1394.0
White City,4690.0,5966,-1276.0
South Quay,3341.0,4591,-1250.0
Farringdon,24407.0,25592,-1185.0
Colindale,902.0,2081,-1179.0
Denmark Hill,1631.0,2612,-981.0
Camden Road,2808.0,3784,-976.0
Watford Junction,425.0,1367,-942.0
North Greenwich,5346.0,6276,-930.0
Walthamstow Central,4354.0,5271,-917.0
Waterloo,22536.0,23408,-872.0
Finchley Central,1070.0,1921,-851.0
Imperial Wharf,1204.0,2049,-845.0
Hendon Central,1056.0,1878,-822.0
North Acton,2355.0,3168,-813.0
Hackney Central,1638.0,2440,-802.0
Hampstead Heath,1995.0,2792,-797.0
Walthamstow Queens Road,475.0,1267,-792.0
Limehouse,2146.0,2931,-785.0
Balham,3043.0,3814,-771.0
Morden,724.0,1447,-723.0
Heathrow Terminal 5,265.0,975,-710.0
Hatton Cross,528.0,1219,-691.0
High Barnet,280.0,953,-673.0
Gunnersbury,4120.0,4775,-655.0
Brixton,4437.0,5084,-647.0
Hanger Lane,887.0,1493,-606.0
London City Airport,1358.0,1941,-583.0
South Acton,397.0,975,-578.0
Greenford,589.0,1157,-568.0
Stanmore,434.0,983,-549.0
Clapham High Street,763.0,1296,-533.0
Golders Green,1341.0,1871,-530.0
Dalston Kingsland,1566.0,2091,-525.0
Harrow & Wealdstone,810.0,1335,-525.0
Watford,438.0,961,-523.0
Tottenham Hale,2722.0,3239,-517.0
Edgware,283.0,772,-489.0
South Kensington,14854.0,15325,-471.0
New Cross,567.0,1027,-460.0
Cutty Sark,1300.0,1748,-448.0
South Wimbledon,917.0,1361,-444.0
Gospel Oak,1587.0,2025,-438.0
Finchley Road & Frognal,1092.0,1529,-437.0
Watford High Street,355.0,790,-435.0
Stratford International,1124.0,1546,-422.0
Kensal Rise,957.0,1376,-419.0
Hoxton,1769.0,2181,-412.0
Dagenham Heathway,706.0,1108,-402.0
Acton Central,359.0,750,-391.0
Harrow-on-the-Hill,2634.0,3019,-385.0
Homerton,1616.0,1998,-382.0
Southgate,494.0,874,-380.0
Epping,131.0,498,-367.0
Southfields,992.0,1351,-359.0
Heathrow Terminal 4,336.0,693,-357.0
Northolt,307.0,663,-356.0
Debden,512.0,865,-353.0
Wood Green,1796.0,2146,-350.0
Park Royal,1210.0,1552,-342.0
Enfield Town,428.0,749,-321.0
Burnt Oak,329.0,649,-320.0
Dalston Junction,970.0,1289,-319.0
Woodside Park,427.0,745,-318.0
East Putney,1562.0,1877,-315.0
Upminster Bridge,262.0,568,-306.0
Upminster,828.0,1132,-304.0
Mill Hill East,382.0,681,-299.0
Hounslow East,556.0,843,-287.0
Brondesbury Park,616.0,895,-279.0
Upper Holloway,621.0,898,-277.0
Kenton,496.0,768,-272.0
Cyprus,578.0,850,-272.0
South Tottenham,285.0,552,-267.0
Caledonian Road & Barnsbury,1404.0,1668,-264.0
East Finchley,992.0,1253,-261.0
Crystal Palace,246.0,499,-253.0
Langdon Park,1736.0,1989,-253.0
Hounslow Central,458.0,708,-250.0
Greenwich,941.0,1189,-248.0
Southbury,313.0,538,-225.0
Turkey Street,234.0,458,-224.0
Peckham Rye,847.0,1070,-223.0
Hornchurch,233.0,451,-218.0
Rickmansworth,722.0,937,-215.0
Dagenham East,438.0,649,-211.0
Oakwood,213.0,423,-210.0
Loughton,451.0,655,-204.0
Kingsbury,818.0,1018,-200.0
Gallions Reach,358.0,557,-199.0
Hackney Downs,643.0,834,-191.0
Canons Park,337.0,526,-189.0
Putney Bridge,2305.0,2494,-189.0
Arnos Grove,560.0,748,-188.0
Wembley Central,1142.0,1327,-185.0
Wimbledon Park,411.0,596,-185.0
Harringay Green Lanes,361.0,544,-183.0
Northwood,835.0,1018,-183.0
Beckton,261.0,442,-181.0
Deptford Bridge,664.0,840,-176.0
Bushey,281.0,456,-175.0
Perivale,359.0,532,-173.0
Boston Manor,720.0,892,-172.0
Silver Street,782.0,953,-171.0
King George V,631.0,800,-169.0
Carpenders Park,172.0,340,-168.0
Brondesbury,545.0,712,-167.0
Kilburn High Road,108.0,266,-158.0
South Ruislip,133.0,289,-156.0
Cockfosters,107.0,262,-155.0
Hounslow West,250.0,401,-151.0
Crouch Hill,254.0,404,-150.0
South Hampstead,87.0,236,-149.0
Wanstead Park,267.0,416,-149.0
Headstone Lane,162.0,310,-148.0
Hampstead,1865.0,2010,-145.0
West Ruislip,58.0,194,-136.0
Newbury Park,424.0,559,-135.0
Chesham,110.0,243,-133.0
Osterley,391.0,521,-130.0
Haggerston,1058.0,1184,-126.0
Colliers Wood,740.0,865,-125.0
Totteridge & Whetstone,163.0,287,-124.0
Alperton,621.0,741,-120.0
Queens Road Peckham,628.0,747,-119.0
Chorleywood,584.0,702,-118.0
Pontoon Dock,1005.0,1123,-118.0
Northfields,750.0,864,-114.0
Royal Albert,570.0,684,-114.0
Leyton Midland Road,333.0,445,-112.0
Wandsworth Road,388.0,498,-110.0
