station_origin,station_destination,prodsimest4,flows,diff
Abbey Road,Bank and Monument,83.0,0,83.0
Abbey Road,Beckton,2.0,1,1.0
Abbey Road,Blackwall,4.0,3,1.0
Abbey Road,Canary Wharf,63.0,1,62.0
Abbey Road,Canning Town,60.0,37,23.0
Abbey Road,Crossharbour,4.0,1,3.0
Abbey Road,Custom House,5.0,0,5.0
Abbey Road,Cutty Sark,4.0,2,2.0
Abbey Road,Cyprus,3.0,7,-4.0
Abbey Road,Devons Road,4.0,1,3.0
Abbey Road,East India,9.0,2,7.0
Abbey Road,Island Gardens,2.0,2,0.0
Abbey Road,King George V,3.0,5,-2.0
Abbey Road,Langdon Park,9.0,8,1.0
Abbey Road,Lewisham,4.0,0,4.0
Abbey Road,Limehouse,10.0,2,8.0
Abbey Road,London City Airport,7.0,4,3.0
Abbey Road,Pontoon Dock,6.0,8,-2.0
Abbey Road,Poplar,7.0,0,7.0
Abbey Road,Prince Regent,4.0,1,3.0
Abbey Road,Royal Albert,4.0,4,0.0
Abbey Road,Shadwell,18.0,1,17.0
Abbey Road,South Quay,13.0,7,6.0
Abbey Road,Star Lane,9.0,7,2.0
Abbey Road,Stratford,187.0,285,-98.0
Abbey Road,Stratford High Street,8.0,10,-2.0
Abbey Road,Stratford International,10.0,33,-23.0
Abbey Road,West Ham,36.0,130,-94.0
Abbey Road,West Silvertown,5.0,2,3.0
Abbey Road,Westferry,6.0,3,3.0
Abbey Road,Woolwich Arsenal,8.0,32,-24.0
Acton Central,Barking,3.0,0,3.0
Acton Central,Blackhorse Road,7.0,0,7.0
Acton Central,Brondesbury,17.0,76,-59.0
Acton Central,Brondesbury Park,22.0,31,-9.0
Acton Central,Bushey,1.0,0,1.0
Acton Central,Caledonian Road & Barnsbury,10.0,22,-12.0
Acton Central,Camden Road,24.0,52,-28.0
Acton Central,Canada Water,29.0,0,29.0
Acton Central,Canonbury,5.0,3,2.0
Acton Central,Carpenders Park,2.0,0,2.0
Acton Central,Crouch Hill,4.0,2,2.0
Acton Central,Dalston Kingsland,7.0,5,2.0
Acton Central,Denmark Hill,6.0,0,6.0
Acton Central,Edmonton Green,1.0,0,1.0
Acton Central,Euston,81.0,17,64.0
Acton Central,Finchley Road & Frognal,24.0,52,-28.0
Acton Central,Gospel Oak,20.0,18,2.0
Acton Central,Gunnersbury,135.0,102,33.0
Acton Central,Hackney Central,7.0,10,-3.0
Acton Central,Hackney Wick,3.0,5,-2.0
Acton Central,Haggerston,4.0,2,2.0
Acton Central,Hampstead Heath,30.0,59,-29.0
Acton Central,Harlesden,45.0,0,45.0
Acton Central,Harringay Green Lanes,4.0,3,1.0
Acton Central,Harrow & Wealdstone,10.0,3,7.0
Acton Central,Hatch End,1.0,0,1.0
Acton Central,Headstone Lane,2.0,4,-2.0
Acton Central,Highams Park,1.0,0,1.0
Acton Central,Highbury & Islington,68.0,49,19.0
Acton Central,Homerton,5.0,3,2.0
Acton Central,Hoxton,6.0,4,2.0
Acton Central,Kensal Green,17.0,0,17.0
Acton Central,Kensal Rise,36.0,39,-3.0
Acton Central,Kentish Town West,11.0,54,-43.0
Acton Central,Kenton,9.0,2,7.0
Acton Central,Kew Gardens,26.0,18,8.0
Acton Central,Kilburn High Road,7.0,0,7.0
Acton Central,Leyton Midland Road,1.0,0,1.0
Acton Central,Leytonstone High Road,1.0,0,1.0
Acton Central,New Cross,2.0,1,1.0
Acton Central,New Cross Gate,3.0,0,3.0
Acton Central,North Wembley,7.0,0,7.0
Acton Central,Queen's Park,43.0,0,43.0
Acton Central,Richmond,81.0,318,-237.0
Acton Central,Shadwell,15.0,0,15.0
Acton Central,Shoreditch High Street,14.0,4,10.0
Acton Central,South Acton,47.0,7,40.0
Acton Central,South Hampstead,6.0,3,3.0
Acton Central,South Kenton,5.0,0,5.0
Acton Central,South Tottenham,3.0,0,3.0
Acton Central,Stonebridge Park,19.0,0,19.0
Acton Central,Stratford,40.0,11,29.0
Acton Central,Surrey Quays,3.0,0,3.0
Acton Central,Upper Holloway,8.0,4,4.0
Acton Central,Watford High Street,2.0,3,-1.0
Acton Central,Watford Junction,2.0,5,-3.0
Acton Central,Wembley Central,23.0,1,22.0
Acton Central,West Hampstead,72.0,141,-69.0
Acton Central,White Hart Lane,1.0,0,1.0
Acton Central,Whitechapel,32.0,1,31.0
Acton Central,Willesden Junction,106.0,90,16.0
Acton Central,Woodgrange Park,0.0,0,0.0
Acton Town,Aldgate,13.0,3,10.0
Acton Town,Aldgate East,13.0,17,-4.0
Acton Town,Alperton,14.0,35,-21.0
Acton Town,Amersham,0.0,0,0.0
Acton Town,Angel,16.0,11,5.0
Acton Town,Archway,4.0,1,3.0
Acton Town,Arnos Grove,1.0,1,0.0
Acton Town,Arsenal,1.0,0,1.0
Acton Town,Baker Street,45.0,19,26.0
Acton Town,Balham,6.0,0,6.0
Acton Town,Bank and Monument,93.0,66,27.0
Acton Town,Barbican,15.0,9,6.0
Acton Town,Barking,2.0,1,1.0
Acton Town,Barkingside,0.0,0,0.0
Acton Town,Barons Court,37.0,84,-47.0
Acton Town,Bayswater,6.0,3,3.0
Acton Town,Becontree,0.0,0,0.0
Acton Town,Belsize Park,5.0,0,5.0
Acton Town,Bermondsey,7.0,6,1.0
Acton Town,Bethnal Green,7.0,2,5.0
Acton Town,Blackfriars,25.0,39,-14.0
Acton Town,Blackhorse Road,2.0,0,2.0
Acton Town,Bond Street,56.0,27,29.0
Acton Town,Borough,9.0,1,8.0
Acton Town,Boston Manor,20.0,62,-42.0
Acton Town,Bounds Green,1.0,1,0.0
Acton Town,Bow Road,2.0,1,1.0
Acton Town,Brixton,11.0,16,-5.0
Acton Town,Bromley-by-Bow,2.0,2,0.0
Acton Town,Burnt Oak,0.0,0,0.0
Acton Town,Caledonian Road,5.0,2,3.0
Acton Town,Camden Town,15.0,3,12.0
Acton Town,Canada Water,24.0,11,13.0
Acton Town,Canary Wharf,21.0,57,-36.0
Acton Town,Canning Town,9.0,3,6.0
Acton Town,Cannon Street,11.0,18,-7.0
Acton Town,Canons Park,1.0,0,1.0
Acton Town,Chalfont & Latimer,0.0,0,0.0
Acton Town,Chalk Farm,4.0,0,4.0
Acton Town,Chancery Lane,35.0,20,15.0
Acton Town,Charing Cross,24.0,5,19.0
Acton Town,Chiswick Park,42.0,20,22.0
Acton Town,Chorleywood,0.0,1,-1.0
Acton Town,Clapham Common,5.0,3,2.0
Acton Town,Clapham North,4.0,1,3.0
Acton Town,Clapham South,4.0,2,2.0
Acton Town,Cockfosters,0.0,0,0.0
Acton Town,Colindale,1.0,0,1.0
Acton Town,Colliers Wood,1.0,0,1.0
Acton Town,Covent Garden,16.0,44,-28.0
Acton Town,Croxley,0.0,0,0.0
Acton Town,Dagenham East,0.0,0,0.0
Acton Town,Dagenham Heathway,0.0,0,0.0
Acton Town,Dollis Hill,3.0,0,3.0
Acton Town,Ealing Broadway,82.0,107,-25.0
Acton Town,Ealing Common,29.0,13,16.0
Acton Town,Earl's Court,54.0,129,-75.0
Acton Town,East Acton,17.0,2,15.0
Acton Town,East Finchley,2.0,0,2.0
Acton Town,East Ham,1.0,1,0.0
Acton Town,East Putney,11.0,13,-2.0
Acton Town,Eastcote,2.0,2,0.0
Acton Town,Edgware,0.0,1,-1.0
Acton Town,Edgware Road,29.0,12,17.0
Acton Town,Elephant & Castle,16.0,20,-4.0
Acton Town,Embankment,30.0,16,14.0
Acton Town,Euston,37.0,14,23.0
Acton Town,Euston Square,22.0,3,19.0
Acton Town,Farringdon,34.0,19,15.0
Acton Town,Finchley Central,2.0,1,1.0
Acton Town,Finchley Road,11.0,0,11.0
Acton Town,Finsbury Park,9.0,7,2.0
Acton Town,Fulham Broadway,31.0,41,-10.0
Acton Town,Gants Hill,0.0,0,0.0
Acton Town,Gloucester Road,39.0,62,-23.0
Acton Town,Golders Green,2.0,1,1.0
Acton Town,Goldhawk Road,8.0,0,8.0
Acton Town,Goodge Street,19.0,14,5.0
Acton Town,Great Portland Street,22.0,10,12.0
Acton Town,Green Park,81.0,79,2.0
Acton Town,Greenford,6.0,2,4.0
Acton Town,Gunnersbury,67.0,0,67.0
Acton Town,Hammersmith,169.0,391,-222.0
Acton Town,Hampstead,4.0,0,4.0
Acton Town,Harrow-on-the-Hill,10.0,6,4.0
Acton Town,Hatton Cross,7.0,62,-55.0
Acton Town,Heathrow Terminal 4,3.0,10,-7.0
Acton Town,Heathrow Terminal 5,3.0,18,-15.0
Acton Town,Heathrow Terminals 2 & 3,8.0,44,-36.0
Acton Town,Hendon Central,2.0,0,2.0
