station_origin,station_destination,SIM_est_1beta,SIM_est_2beta,SIM_est_3beta,SIM_est_5beta,flows,2beta_diff,3beta_diff,5beta_diff
Abbey Road,Bank and Monument,77.0,52.0,41.0,32.0,0,52.0,41.0,32.0
Abbey Road,Beckton,3.0,2.0,1.0,0.0,1,1.0,0.0,-1.0
Abbey Road,Blackwall,4.0,3.0,3.0,3.0,3,0.0,0.0,0.0
Abbey Road,Canary Wharf,112.0,113.0,109.0,101.0,1,112.0,108.0,100.0
Abbey Road,Canning Town,48.0,63.0,73.0,94.0,37,26.0,36.0,57.0
Abbey Road,Crossharbour,5.0,3.0,2.0,1.0,1,2.0,1.0,0.0
Abbey Road,Custom House,5.0,5.0,4.0,3.0,0,5.0,4.0,3.0
Abbey Road,Cutty Sark,6.0,3.0,1.0,0.0,2,1.0,-1.0,-2.0
Abbey Road,Cyprus,5.0,4.0,2.0,1.0,7,-3.0,-5.0,-6.0
Abbey Road,Devons Road,4.0,3.0,3.0,2.0,1,2.0,2.0,1.0
Abbey Road,East India,9.0,8.0,7.0,7.0,2,6.0,5.0,5.0
Abbey Road,Island Gardens,3.0,1.0,1.0,0.0,2,-1.0,-1.0,-2.0
Abbey Road,King George V,4.0,2.0,1.0,0.0,5,-3.0,-4.0,-5.0
Abbey Road,Langdon Park,10.0,8.0,6.0,5.0,8,0.0,-2.0,-3.0
Abbey Road,Lewisham,9.0,4.0,1.0,0.0,0,4.0,1.0,0.0
Abbey Road,Limehouse,13.0,9.0,7.0,6.0,2,7.0,5.0,4.0
Abbey Road,London City Airport,11.0,6.0,3.0,1.0,4,2.0,-1.0,-3.0
Abbey Road,Pontoon Dock,7.0,5.0,3.0,1.0,8,-3.0,-5.0,-7.0
Abbey Road,Poplar,6.0,5.0,4.0,3.0,0,5.0,4.0,3.0
Abbey Road,Prince Regent,5.0,4.0,4.0,2.0,1,3.0,3.0,1.0
Abbey Road,Royal Albert,4.0,4.0,3.0,1.0,4,0.0,-1.0,-3.0
Abbey Road,Shadwell,15.0,11.0,9.0,7.0,1,10.0,8.0,6.0
Abbey Road,South Quay,19.0,12.0,9.0,5.0,7,5.0,2.0,-2.0
Abbey Road,Star Lane,9.0,9.0,10.0,13.0,7,2.0,3.0,6.0
Abbey Road,Stratford,123.0,179.0,213.0,232.0,285,-106.0,-72.0,-53.0
Abbey Road,Stratford High Street,9.0,9.0,8.0,8.0,10,-1.0,-2.0,-2.0
Abbey Road,Stratford International,14.0,13.0,11.0,7.0,33,-20.0,-22.0,-26.0
Abbey Road,West Ham,21.0,31.0,38.0,52.0,130,-99.0,-92.0,-78.0
Abbey Road,West Silvertown,6.0,5.0,4.0,2.0,2,3.0,2.0,0.0
Abbey Road,Westferry,6.0,4.0,3.0,3.0,3,1.0,0.0,0.0
Abbey Road,Woolwich Arsenal,31.0,22.0,15.0,6.0,32,-10.0,-17.0,-26.0
Acton Central,Barking,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Acton Central,Blackhorse Road,5.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Acton Central,Brondesbury,19.0,17.0,11.0,4.0,76,-59.0,-65.0,-72.0
Acton Central,Brondesbury Park,28.0,24.0,17.0,7.0,31,-7.0,-14.0,-24.0
Acton Central,Bushey,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Acton Central,Caledonian Road & Barnsbury,10.0,3.0,1.0,0.0,22,-19.0,-21.0,-22.0
Acton Central,Camden Road,28.0,12.0,5.0,1.0,52,-40.0,-47.0,-51.0
Acton Central,Canada Water,18.0,2.0,0.0,0.0,0,2.0,0.0,0.0
Acton Central,Canonbury,3.0,1.0,0.0,0.0,3,-2.0,-3.0,-3.0
Acton Central,Carpenders Park,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Acton Central,Crouch Hill,5.0,1.0,0.0,0.0,2,-1.0,-2.0,-2.0
Acton Central,Dalston Kingsland,8.0,1.0,0.0,0.0,5,-4.0,-5.0,-5.0
Acton Central,Denmark Hill,9.0,1.0,0.0,0.0,0,1.0,0.0,0.0
Acton Central,Edmonton Green,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Acton Central,Euston,55.0,23.0,11.0,3.0,17,6.0,-6.0,-14.0
Acton Central,Finchley Road & Frognal,28.0,20.0,11.0,3.0,52,-32.0,-41.0,-49.0
Acton Central,Gospel Oak,23.0,12.0,6.0,1.0,18,-6.0,-12.0,-17.0
Acton Central,Gunnersbury,125.0,224.0,272.0,316.0,102,122.0,170.0,214.0
Acton Central,Hackney Central,8.0,1.0,0.0,0.0,10,-9.0,-10.0,-10.0
Acton Central,Hackney Wick,3.0,0.0,0.0,0.0,5,-5.0,-5.0,-5.0
Acton Central,Haggerston,4.0,1.0,0.0,0.0,2,-1.0,-2.0,-2.0
Acton Central,Hampstead Heath,37.0,24.0,13.0,3.0,59,-35.0,-46.0,-56.0
Acton Central,Harlesden,35.0,54.0,53.0,28.0,0,54.0,53.0,28.0
Acton Central,Harringay Green Lanes,5.0,1.0,0.0,0.0,3,-2.0,-3.0,-3.0
Acton Central,Harrow & Wealdstone,17.0,6.0,1.0,0.0,3,3.0,-2.0,-3.0
Acton Central,Hatch End,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Acton Central,Headstone Lane,6.0,1.0,0.0,0.0,4,-3.0,-4.0,-4.0
Acton Central,Highams Park,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Acton Central,Highbury & Islington,44.0,11.0,3.0,0.0,49,-38.0,-46.0,-49.0
Acton Central,Homerton,5.0,1.0,0.0,0.0,3,-2.0,-3.0,-3.0
Acton Central,Hoxton,6.0,1.0,0.0,0.0,4,-3.0,-4.0,-4.0
Acton Central,Kensal Green,10.0,15.0,18.0,14.0,0,15.0,18.0,14.0
Acton Central,Kensal Rise,45.0,54.0,48.0,31.0,39,15.0,9.0,-8.0
Acton Central,Kentish Town West,10.0,5.0,2.0,0.0,54,-49.0,-52.0,-54.0
Acton Central,Kenton,13.0,4.0,1.0,0.0,2,2.0,-1.0,-2.0
Acton Central,Kew Gardens,19.0,27.0,21.0,7.0,18,9.0,3.0,-11.0
Acton Central,Kilburn High Road,16.0,11.0,7.0,3.0,0,11.0,7.0,3.0
Acton Central,Leyton Midland Road,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Acton Central,Leytonstone High Road,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Acton Central,New Cross,3.0,0.0,0.0,0.0,1,-1.0,-1.0,-1.0
Acton Central,New Cross Gate,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Acton Central,North Wembley,7.0,4.0,1.0,0.0,0,4.0,1.0,0.0
Acton Central,Queen's Park,27.0,38.0,42.0,35.0,0,38.0,42.0,35.0
Acton Central,Richmond,132.0,224.0,253.0,260.0,318,-94.0,-65.0,-58.0
Acton Central,Shadwell,12.0,1.0,0.0,0.0,0,1.0,0.0,0.0
Acton Central,Shoreditch High Street,19.0,2.0,0.0,0.0,4,-2.0,-4.0,-4.0
Acton Central,South Acton,103.0,162.0,202.0,290.0,7,155.0,195.0,283.0
Acton Central,South Hampstead,14.0,9.0,6.0,2.0,3,6.0,3.0,-1.0
Acton Central,South Kenton,5.0,2.0,0.0,0.0,0,2.0,0.0,0.0
Acton Central,South Tottenham,5.0,1.0,0.0,0.0,0,1.0,0.0,0.0
Acton Central,Stonebridge Park,14.0,18.0,12.0,2.0,0,18.0,12.0,2.0
Acton Central,Stratford,24.0,1.0,0.0,0.0,11,-10.0,-11.0,-11.0
Acton Central,Surrey Quays,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Acton Central,Upper Holloway,10.0,4.0,1.0,0.0,4,0.0,-3.0,-4.0
Acton Central,Watford High Street,6.0,0.0,0.0,0.0,3,-3.0,-3.0,-3.0
Acton Central,Watford Junction,11.0,1.0,0.0,0.0,5,-4.0,-5.0,-5.0
Acton Central,Wembley Central,23.0,23.0,10.0,1.0,1,22.0,9.0,0.0
Acton Central,West Hampstead,44.0,33.0,17.0,3.0,141,-108.0,-124.0,-138.0
Acton Central,White Hart Lane,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Acton Central,Whitechapel,18.0,3.0,0.0,0.0,1,2.0,-1.0,-1.0
Acton Central,Willesden Junction,76.0,136.0,178.0,211.0,90,46.0,88.0,121.0
Acton Central,Woodgrange Park,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
