station_destination,SIM_est_5beta_sum,flow_sum,change_ratio
Westbourne Park,1327.0,1347,-20.0
Oval,2524.0,2544,-20.0
Kentish Town,3385.0,3404,-19.0
Kennington,1142.0,1161,-19.0
Caledonian Road,1785.0,1803,-18.0
Brixton,5066.0,5084,-18.0
Holland Park,2047.0,2063,-16.0
Whitechapel,17617.0,17633,-16.0
Lambeth North,1303.0,1319,-16.0
High Street Kensington,5412.0,5427,-15.0
Barons Court,2941.0,2956,-15.0
Royal Oak,842.0,856,-14.0
Finsbury Park,6755.0,6769,-14.0
Holloway Road,1682.0,1696,-14.0
Edgware Road,6855.0,6868,-13.0
Shepherd's Bush,9877.0,9890,-13.0
Canary Wharf,58759.0,58772,-13.0
West Hampstead,5843.0,5856,-13.0
Bethnal Green,4648.0,4660,-12.0
Canada Water,20431.0,20443,-12.0
Aldgate East,7920.0,7932,-12.0
St. Paul's,13434.0,13446,-12.0
Finchley Road,3405.0,3417,-12.0
Ladbroke Grove,2119.0,2131,-12.0
Earl's Court,6602.0,6613,-11.0
Bermondsey,3161.0,3172,-11.0
Parsons Green,2700.0,2711,-11.0
Pimlico,5574.0,5585,-11.0
Hammersmith,18240.0,18250,-10.0
St. John's Wood,3972.0,3982,-10.0
Fulham Broadway,4190.0,4200,-10.0
Bayswater,605.0,615,-10.0
West Brompton,5849.0,5859,-10.0
Chalk Farm,1320.0,1329,-9.0
Aldgate,7773.0,7782,-9.0
Willesden Junction,4156.0,4165,-9.0
Stockwell,1614.0,1623,-9.0
Swiss Cottage,2589.0,2598,-9.0
Warwick Avenue,1165.0,1174,-9.0
Euston,16791.0,16800,-9.0
Acton Town,2194.0,2202,-8.0
Borough,3246.0,3254,-8.0
Wimbledon,6287.0,6295,-8.0
Stepney Green,1871.0,1879,-8.0
Maida Vale,941.0,949,-8.0
Sloane Square,8221.0,8229,-8.0
Goodge Street,6449.0,6457,-8.0
Regent's Park,3356.0,3364,-8.0
East Putney,1869.0,1877,-8.0
Liverpool Street,61115.0,61122,-7.0
Latimer Road,1102.0,1109,-7.0
Chancery Lane,15384.0,15391,-7.0
Queensway,1875.0,1882,-7.0
Clapham North,1231.0,1238,-7.0
Mornington Crescent,2920.0,2927,-7.0
Queen's Park,2160.0,2167,-7.0
Farringdon,25585.0,25592,-7.0
Belsize Park,2248.0,2255,-7.0
White City,5959.0,5966,-7.0
Tower Hill,8279.0,8286,-7.0
Kilburn Park,816.0,823,-7.0
Kensal Green,465.0,472,-7.0
Tufnell Park,551.0,557,-6.0
Notting Hill Gate,5484.0,5490,-6.0
West Kensington,1339.0,1345,-6.0
Blackfriars,10842.0,10848,-6.0
Gloucester Road,5188.0,5194,-6.0
North Greenwich,6270.0,6276,-6.0
Gospel Oak,2019.0,2025,-6.0
Holborn,22340.0,22346,-6.0
Shadwell,7440.0,7446,-6.0
Shepherd's Bush Market,410.0,416,-6.0
Mile End,3753.0,3759,-6.0
Angel,8097.0,8103,-6.0
Chiswick Park,1511.0,1517,-6.0
Highbury & Islington,25380.0,25385,-5.0
Kensington,2247.0,2252,-5.0
Canning Town,15423.0,15428,-5.0
Old Street,15892.0,15897,-5.0
Hampstead,2005.0,2010,-5.0
St. James's Park,13334.0,13339,-5.0
Archway,2188.0,2193,-5.0
Harlesden,1663.0,1668,-5.0
Camden Town,6344.0,6348,-4.0
Park Royal,1548.0,1552,-4.0
Bank and Monument,78545.0,78549,-4.0
Camden Road,3780.0,3784,-4.0
Baker Street,14969.0,14973,-4.0
Elephant & Castle,6423.0,6427,-4.0
Arsenal,311.0,315,-4.0
Barking,7000.0,7004,-4.0
Stamford Brook,780.0,784,-4.0
Kilburn,1949.0,1953,-4.0
Clapham Common,2016.0,2020,-4.0
Putney Bridge,2490.0,2494,-4.0
North Acton,3164.0,3168,-4.0
Cannon Street,4694.0,4698,-4.0
Cutty Sark,1744.0,1748,-4.0
Upton Park,1638.0,1642,-4.0
Hackney Wick,1259.0,1263,-4.0
Stonebridge Park,725.0,729,-4.0
Wood Lane,1574.0,1578,-4.0
Richmond,5393.0,5397,-4.0
Royal Albert,680.0,684,-4.0
Leyton,1443.0,1447,-4.0
Temple,6776.0,6780,-4.0
Prince Regent,750.0,754,-4.0
Goldhawk Road,366.0,370,-4.0
Moorgate,24571.0,24574,-3.0
Hampstead Heath,2789.0,2792,-3.0
Mansion House,7812.0,7815,-3.0
Manor House,1308.0,1311,-3.0
Golders Green,1868.0,1871,-3.0
Hyde Park Corner,2407.0,2410,-3.0
Greenwich,1186.0,1189,-3.0
Gunnersbury,4772.0,4775,-3.0
Marylebone,4247.0,4250,-3.0
Island Gardens,688.0,691,-3.0
Kingsbury,1015.0,1018,-3.0
New Cross,1024.0,1027,-3.0
Barbican,9131.0,9134,-3.0
Blackhorse Road,2952.0,2955,-3.0
Bromley-by-Bow,1610.0,1613,-3.0
Stratford,55951.0,55954,-3.0
Canonbury,843.0,846,-3.0
Silver Street,950.0,953,-3.0
Queensbury,436.0,439,-3.0
Pudding Mill Lane,428.0,431,-3.0
Denmark Hill,2609.0,2612,-3.0
South Ealing,667.0,670,-3.0
Ealing Broadway,4843.0,4846,-3.0
East Acton,1502.0,1505,-3.0
East Ham,2059.0,2062,-3.0
Peckham Rye,1067.0,1070,-3.0
Star Lane,1050.0,1052,-2.0
Northfields,862.0,864,-2.0
Stratford International,1544.0,1546,-2.0
Kew Gardens,790.0,792,-2.0
Kentish Town West,1126.0,1128,-2.0
Sudbury Hill,275.0,277,-2.0
North Harrow,188.0,190,-2.0
