Rank,degree_w(nonseq),value,closeness_w(nonseq),value,betweenness_w(nonseq),value
1,Abbey Road,0.004579345405859039,Green Park,2375.7362225531415,Green Park,0.576422305764411
2,Theobalds Grove,0.004554984369054459,Westminster,2368.708326623083,Bank and Monument,0.4403947368421053
3,Heathrow Terminal 4,0.004063327389636354,Waterloo,2363.487015936735,Waterloo,0.37148809523809523
4,Heathrow Terminals 2 & 3,0.003916218307659446,Bank and Monument,2359.25871613235,Westminster,0.3580043859649123
5,Stratford High Street,0.003589306342483085,Oxford Circus,2355.3588911952106,Liverpool Street,0.3348245614035088
6,Cheshunt,0.003484320557491289,Bond Street,2344.7690645954044,Stratford,0.31957393483709273
7,Star Lane,0.003175780517332515,Liverpool Street,2339.5412743451,Euston,0.28282894736842107
8,West Ham,0.002918569053294216,Victoria,2335.422310330605,Oxford Circus,0.26379699248120303
9,Grange Hill,0.0028287215787215787,Warren Street,2332.442013180862,Bond Street,0.25416040100250625
10,Canning Town,0.0026047339277233197,Hyde Park Corner,2323.957657748327,Warren Street,0.2512061403508772
