"BehaviorSpace results (NetLogo 6.3.0)"
"Sugarscape 1 Immediate Growback.nlogo"
"experiment"
"09/04/2023 22:25:44:716 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean [sugar] of turtles"
"6","no-visualization","600","0","600","15.163333333333334"
"8","no-visualization","800","0","800","14.9"
"3","no-visualization","300","0","300","15.25"
"2","no-visualization","200","0","200","15.47"
"6","no-visualization","600","1","600","15.061666666666667"
"6","no-visualization","600","2","599","15.058430717863105"
"7","no-visualization","700","0","700","15.18"
"3","no-visualization","300","1","300","15.216666666666667"
"3","no-visualization","300","2","297","15.441077441077441"
"6","no-visualization","600","3","584","15.445205479452055"
"2","no-visualization","200","1","200","15.29"
"3","no-visualization","300","3","294","15.738095238095237"
"6","no-visualization","600","4","571","15.879159369527146"
"3","no-visualization","300","4","285","16.417543859649122"
"2","no-visualization","200","2","199","15.291457286432161"
"3","no-visualization","300","5","276","17.231884057971016"
"2","no-visualization","200","3","192","15.833333333333334"
"6","no-visualization","600","5","552","16.57427536231884"
"7","no-visualization","700","1","700","15.018571428571429"
"3","no-visualization","300","6","267","18.187265917602996"
"2","no-visualization","200","4","190","16.057894736842105"
"1","no-visualization","100","0","100","15.19"
"3","no-visualization","300","7","261","19.049808429118773"
"5","no-visualization","500","0","500","15.086"
"4","no-visualization","400","0","400","15.21"
"3","no-visualization","300","8","252","20.23015873015873"
"2","no-visualization","200","5","186","16.489247311827956"
"7","no-visualization","700","2","696","14.998563218390805"
"3","no-visualization","300","9","246","21.317073170731707"
"8","no-visualization","800","1","800","14.68125"
"2","no-visualization","200","6","180","17.183333333333334"
"3","no-visualization","300","10","240","22.504166666666666"
"2","no-visualization","200","7","173","18.115606936416185"
"6","no-visualization","600","6","532","17.43796992481203"
"7","no-visualization","700","3","683","15.215226939970718"
"3","no-visualization","300","11","233","23.901287553648068"
"2","no-visualization","200","8","166","19.210843373493976"
"3","no-visualization","300","12","227","25.325991189427313"
"7","no-visualization","700","4","660","15.74090909090909"
"3","no-visualization","300","13","223","26.62780269058296"
"6","no-visualization","600","7","523","18.047801147227535"
"2","no-visualization","200","9","164","19.865853658536587"
"3","no-visualization","300","14","220","27.868181818181817"
"1","no-visualization","100","1","100","15.24"
"3","no-visualization","300","15","219","28.89041095890411"
"3","no-visualization","300","16","215","30.344186046511627"
"7","no-visualization","700","5","638","16.357366771159874"
"3","no-visualization","300","17","212","31.721698113207548"
"3","no-visualization","300","18","210","32.99523809523809"
"7","no-visualization","700","6","617","17.074554294975687"
"6","no-visualization","600","8","500","19.254"
"2","no-visualization","200","10","160","20.8125"
"3","no-visualization","300","19","208","34.30288461538461"
"3","no-visualization","300","20","208","35.30288461538461"
"2","no-visualization","200","11","157","21.713375796178344"
"7","no-visualization","700","7","593","18.015177065767286"
"6","no-visualization","600","9","489","20.151329243353782"
"3","no-visualization","300","21","204","37.01470588235294"
"2","no-visualization","200","12","152","22.980263157894736"
"6","no-visualization","600","10","477","21.167714884696018"
"2","no-visualization","200","13","152","23.57236842105263"
"3","no-visualization","300","22","201","38.62189054726368"
"7","no-visualization","700","8","574","18.95296167247387"
"3","no-visualization","300","23","198","40.292929292929294"
"2","no-visualization","200","14","148","24.81756756756757"
"6","no-visualization","600","11","464","22.32758620689655"
"2","no-visualization","200","15","147","25.625850340136054"
"3","no-visualization","300","24","196","41.816326530612244"
"2","no-visualization","200","16","143","27.006993006993007"
"3","no-visualization","300","25","194","43.381443298969074"
"7","no-visualization","700","9","558","19.905017921146953"
"6","no-visualization","600","12","451","23.607538802660756"
"2","no-visualization","200","17","137","28.912408759124087"
"3","no-visualization","300","26","194","44.52577319587629"
"2","no-visualization","200","18","134","30.34328358208955"
"3","no-visualization","300","27","194","45.670103092783506"
"7","no-visualization","700","10","536","21.192164179104477"
"6","no-visualization","600","13","438","25.015981735159816"
"8","no-visualization","800","2","795","14.623899371069182"
"2","no-visualization","200","19","128","32.609375"
"3","no-visualization","300","28","194","46.81443298969072"
"4","no-visualization","400","1","400","15.265"
"5","no-visualization","500","1","500","15.042"
"3","no-visualization","300","29","194","47.95876288659794"
"7","no-visualization","700","11","526","22.136882129277566"
"2","no-visualization","200","20","124","34.58064516129032"
"6","no-visualization","600","14","436","25.871559633027523"
"2","no-visualization","200","21","120","36.71666666666667"
"3","no-visualization","300","30","194","49.103092783505154"
"2","no-visualization","200","22","118","38.3728813559322"
"3","no-visualization","300","31","194","50.24742268041237"
"6","no-visualization","600","15","430","26.988372093023255"
"3","no-visualization","300","32","194","51.391752577319586"
"2","no-visualization","200","23","118","39.42372881355932"
"3","no-visualization","300","33","194","52.5360824742268"
"2","no-visualization","200","24","117","40.82051282051282"
"6","no-visualization","600","16","426","28.018779342723004"
"3","no-visualization","300","34","194","53.68041237113402"
"2","no-visualization","200","25","116","42.25"
"2","no-visualization","200","26","116","43.33620689655172"
"3","no-visualization","300","35","194","54.824742268041234"
"6","no-visualization","600","17","419","29.286396181384248"
"8","no-visualization","800","3","775","14.904516129032258"
"2","no-visualization","200","27","116","44.422413793103445"
"3","no-visualization","300","36","194","55.96907216494845"
"2","no-visualization","200","28","116","45.508620689655174"
"6","no-visualization","600","18","414","30.466183574879228"
"3","no-visualization","300","37","194","57.11340206185567"
"1","no-visualization","100","2","100","15.39"
"2","no-visualization","200","29","116","46.5948275862069"
"3","no-visualization","300","38","194","58.25773195876289"
"2","no-visualization","200","30","116","47.68103448275862"
"6","no-visualization","600","19","412","31.45631067961165"
"2","no-visualization","200","31","116","48.76724137931034"
"3","no-visualization","300","39","194","59.402061855670105"
"2","no-visualization","200","32","116","49.85344827586207"
"7","no-visualization","700","12","513","23.28460038986355"
"3","no-visualization","300","40","194","60.54639175257732"
"6","no-visualization","600","20","406","32.783251231527096"
"2","no-visualization","200","33","116","50.939655172413794"
"3","no-visualization","300","41","194","61.69072164948454"
"2","no-visualization","200","34","116","52.025862068965516"
"7","no-visualization","700","13","503","24.387673956262425"
"2","no-visualization","200","35","116","53.11206896551724"
"3","no-visualization","300","42","194","62.83505154639175"
"6","no-visualization","600","21","402","33.995024875621894"
"5","no-visualization","500","2","493","15.288032454361055"
"4","no-visualization","400","2","399","15.436090225563909"
"2","no-visualization","200","36","116","54.19827586206897"
"3","no-visualization","300","43","194","63.97938144329897"
"2","no-visualization","200","37","116","55.28448275862069"
"7","no-visualization","700","14","488","25.817622950819672"
"3","no-visualization","300","44","194","65.12371134020619"
"6","no-visualization","600","22","399","35.152882205513784"
"2","no-visualization","200","38","116","56.37068965517241"
"2","no-visualization","200","39","116","57.456896551724135"
"3","no-visualization","300","45","194","66.26804123711341"
"2","no-visualization","200","40","116","58.543103448275865"
"3","no-visualization","300","46","194","67.41237113402062"
"6","no-visualization","600","23","394","36.52030456852792"
"7","no-visualization","700","15","480","26.975"
"3","no-visualization","300","47","194","68.55670103092784"
"2","no-visualization","200","41","116","59.62931034482759"
"3","no-visualization","300","48","194","69.70103092783505"
"2","no-visualization","200","42","116","60.71551724137931"
"5","no-visualization","500","3","478","15.889121338912133"
"7","no-visualization","700","16","474","28.073839662447256"
"3","no-visualization","300","49","194","70.84536082474227"
"2","no-visualization","200","43","116","61.80172413793103"
"6","no-visualization","600","24","389","37.93573264781491"
"4","no-visualization","400","3","394","15.791878172588833"
"2","no-visualization","200","44","116","62.88793103448276"
"3","no-visualization","300","50","194","71.98969072164948"
"2","no-visualization","200","45","116","63.974137931034484"
"6","no-visualization","600","25","385","39.298701298701296"
"3","no-visualization","300","51","194","73.1340206185567"
"7","no-visualization","700","17","469","29.15138592750533"
"2","no-visualization","200","46","116","65.0603448275862"
"3","no-visualization","300","52","194","74.27835051546391"
"6","no-visualization","600","26","385","40.27792207792208"
"3","no-visualization","300","53","194","75.42268041237114"
"2","no-visualization","200","47","116","66.14655172413794"
"7","no-visualization","700","18","461","30.45986984815618"
"4","no-visualization","400","4","389","16.190231362467866"
"3","no-visualization","300","54","194","76.56701030927834"
"6","no-visualization","600","27","385","41.25714285714286"
"2","no-visualization","200","48","116","67.23275862068965"
"5","no-visualization","500","4","465","16.53548387096774"
"3","no-visualization","300","55","194","77.71134020618557"
"2","no-visualization","200","49","116","68.31896551724138"
"6","no-visualization","600","28","385","42.236363636363635"
"3","no-visualization","300","56","194","78.85567010309278"
"3","no-visualization","300","57","194","80"
"7","no-visualization","700","19","453","31.83222958057395"
"2","no-visualization","200","50","116","69.40517241379311"
"3","no-visualization","300","58","194","81.14432989690722"
"6","no-visualization","600","29","385","43.215584415584416"
"2","no-visualization","200","51","116","70.49137931034483"
"3","no-visualization","300","59","194","82.28865979381443"
"2","no-visualization","200","52","116","71.57758620689656"
"1","no-visualization","100","3","99","15.717171717171718"
"6","no-visualization","600","30","385","44.1948051948052"
"3","no-visualization","300","60","194","83.43298969072166"
"2","no-visualization","200","53","116","72.66379310344827"
"2","no-visualization","200","54","116","73.75"
"3","no-visualization","300","61","194","84.57731958762886"
"5","no-visualization","500","5","447","17.492170022371365"
"6","no-visualization","600","31","385","45.17402597402597"
"7","no-visualization","700","20","448","33.049107142857146"
"2","no-visualization","200","55","116","74.83620689655173"
"3","no-visualization","300","62","194","85.72164948453609"
"3","no-visualization","300","63","194","86.8659793814433"
"4","no-visualization","400","5","379","16.854881266490764"
"6","no-visualization","600","32","385","46.153246753246755"
"2","no-visualization","200","56","116","75.92241379310344"
"2","no-visualization","200","57","116","77.00862068965517"
"3","no-visualization","300","64","194","88.01030927835052"
"6","no-visualization","600","33","385","47.13246753246753"
"2","no-visualization","200","58","116","78.09482758620689"
"3","no-visualization","300","65","194","89.15463917525773"
"2","no-visualization","200","59","116","79.18103448275862"
"7","no-visualization","700","21","441","34.46031746031746"
"3","no-visualization","300","66","194","90.29896907216495"
"2","no-visualization","200","60","116","80.26724137931035"
"6","no-visualization","600","34","385","48.11168831168831"
"3","no-visualization","300","67","194","91.44329896907216"
"2","no-visualization","200","61","116","81.35344827586206"
"1","no-visualization","100","4","98","16.071428571428573"
"4","no-visualization","400","6","366","17.759562841530055"
"2","no-visualization","200","62","116","82.4396551724138"
"3","no-visualization","300","68","194","92.58762886597938"
"6","no-visualization","600","35","385","49.09090909090909"
"7","no-visualization","700","22","434","35.933179723502306"
"5","no-visualization","500","6","430","18.565116279069766"
"3","no-visualization","300","69","194","93.73195876288659"
"8","no-visualization","800","4","759","15.191040843214756"
"2","no-visualization","200","63","116","83.52586206896552"
"4","no-visualization","400","7","350","18.965714285714284"
"6","no-visualization","600","36","385","50.07012987012987"
"3","no-visualization","300","70","194","94.87628865979381"
"2","no-visualization","200","64","116","84.61206896551724"
"7","no-visualization","700","23","427","37.47072599531616"
"2","no-visualization","200","65","116","85.69827586206897"
"3","no-visualization","300","71","194","96.02061855670104"
"5","no-visualization","500","7","422","19.37440758293839"
"6","no-visualization","600","37","385","51.04935064935065"
"2","no-visualization","200","66","116","86.78448275862068"
"4","no-visualization","400","8","342","19.880116959064328"
"3","no-visualization","300","72","194","97.16494845360825"
"8","no-visualization","800","5","722","16.01108033240997"
"2","no-visualization","200","67","116","87.87068965517241"
"7","no-visualization","700","24","419","39.16945107398568"
"6","no-visualization","600","38","385","52.02857142857143"
"3","no-visualization","300","73","194","98.30927835051547"
"2","no-visualization","200","68","116","88.95689655172414"
"3","no-visualization","300","74","194","99.45360824742268"
"7","no-visualization","700","25","415","40.56144578313253"
"6","no-visualization","600","39","385","53.00779220779221"
"4","no-visualization","400","9","331","21.078549848942597"
"3","no-visualization","300","75","194","100.5979381443299"
"3","no-visualization","300","76","194","101.74226804123711"
"7","no-visualization","700","26","415","41.5855421686747"
"6","no-visualization","600","40","385","53.98701298701299"
"3","no-visualization","300","77","194","102.88659793814433"
"1","no-visualization","100","5","94","17.01063829787234"
"4","no-visualization","400","10","321","22.342679127725855"
"3","no-visualization","300","78","194","104.03092783505154"
"7","no-visualization","700","27","415","42.609638554216865"
"6","no-visualization","600","41","385","54.96623376623376"
"8","no-visualization","800","6","698","16.71776504297994"
"3","no-visualization","300","79","194","105.17525773195877"
"3","no-visualization","300","80","194","106.31958762886597"
"6","no-visualization","600","42","385","55.945454545454545"
