"BehaviorSpace results (NetLogo 6.3.0)"
"Sugarscape 2 Constant Growback.nlogo"
"experiment"
"09/04/2023 22:22:31:802 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean [sugar] of turtles"
"4","no-visualization","400","0","400","14.9475"
"3","no-visualization","300","0","300","15.483333333333333"
"5","no-visualization","500","0","500","15.014"
"4","no-visualization","400","1","400","14.87"
"7","no-visualization","700","0","700","14.767142857142858"
"2","no-visualization","200","0","200","14.865"
"4","no-visualization","400","2","394","15.045685279187817"
"8","no-visualization","800","0","800","15.00125"
"1","no-visualization","100","0","100","15.41"
"5","no-visualization","500","1","500","14.844"
"3","no-visualization","300","1","300","15.416666666666666"
"6","no-visualization","600","0","600","15.056666666666667"
"1","no-visualization","100","1","100","15.43"
"3","no-visualization","300","2","299","15.448160535117056"
"7","no-visualization","700","1","700","14.714285714285714"
"4","no-visualization","400","3","386","15.284974093264248"
"2","no-visualization","200","1","200","14.715"
"1","no-visualization","100","2","100","15.54"
"3","no-visualization","300","3","295","15.654237288135594"
"4","no-visualization","400","4","378","15.476190476190476"
"7","no-visualization","700","2","696","14.653735632183908"
"3","no-visualization","300","4","288","16.038194444444443"
"5","no-visualization","500","2","494","14.884615384615385"
"4","no-visualization","400","5","363","16.118457300275484"
"1","no-visualization","100","3","95","16.57894736842105"
"6","no-visualization","600","1","600","14.998333333333333"
"5","no-visualization","500","3","481","15.126819126819127"
"8","no-visualization","800","1","800","14.785"
"1","no-visualization","100","4","93","17.344086021505376"
"4","no-visualization","400","6","348","16.92528735632184"
"3","no-visualization","300","5","281","16.512455516014235"
"3","no-visualization","300","6","273","17.164835164835164"
"4","no-visualization","400","7","344","17.29360465116279"
"2","no-visualization","200","2","199","14.688442211055277"
"1","no-visualization","100","5","92","18.065217391304348"
"7","no-visualization","700","3","676","14.6301775147929"
"8","no-visualization","800","2","790","14.640506329113924"
"3","no-visualization","300","7","265","17.88679245283019"
"4","no-visualization","400","8","332","18.1355421686747"
"5","no-visualization","500","4","473","15.19661733615222"
"6","no-visualization","600","2","590","15.154237288135594"
"3","no-visualization","300","8","253","19.023715415019762"
"4","no-visualization","400","9","320","19.090625"
"1","no-visualization","100","6","91","18.835164835164836"
"5","no-visualization","500","5","456","15.671052631578947"
"6","no-visualization","600","3","579","15.160621761658032"
"4","no-visualization","400","10","314","19.837579617834393"
"3","no-visualization","300","9","245","20.040816326530614"
"8","no-visualization","800","3","766","14.439947780678851"
"1","no-visualization","100","7","86","20.593023255813954"
"3","no-visualization","300","10","239","21.03347280334728"
"4","no-visualization","400","11","307","20.70358306188925"
"1","no-visualization","100","8","85","21.623529411764707"
"3","no-visualization","300","11","234","22.021367521367523"
"1","no-visualization","100","9","83","23.03614457831325"
"6","no-visualization","600","4","565","15.256637168141593"
"1","no-visualization","100","10","83","24"
"5","no-visualization","500","6","442","16.09049773755656"
"3","no-visualization","300","12","231","22.874458874458874"
"4","no-visualization","400","12","299","21.745819397993312"
"1","no-visualization","100","11","83","24.867469879518072"
"1","no-visualization","100","12","82","26.048780487804876"
"2","no-visualization","200","3","195","14.974358974358974"
"1","no-visualization","100","13","82","27.01219512195122"
"5","no-visualization","500","7","433","16.41570438799076"
"4","no-visualization","400","13","294","22.67687074829932"
"3","no-visualization","300","13","226","24.01769911504425"
"1","no-visualization","100","14","81","28.358024691358025"
"3","no-visualization","300","14","222","25.09009009009009"
"4","no-visualization","400","14","290","23.572413793103447"
"1","no-visualization","100","15","81","29.358024691358025"
"6","no-visualization","600","5","547","15.511882998171846"
"1","no-visualization","100","16","80","30.7625"
"5","no-visualization","500","8","415","17.17590361445783"
"4","no-visualization","400","15","285","24.582456140350878"
"3","no-visualization","300","15","217","26.36405529953917"
"1","no-visualization","100","17","80","31.825"
"5","no-visualization","500","9","402","17.888059701492537"
"1","no-visualization","100","18","80","32.8625"
"6","no-visualization","600","6","532","15.725563909774436"
"3","no-visualization","300","16","212","27.712264150943398"
"4","no-visualization","400","16","282","25.47517730496454"
"8","no-visualization","800","4","738","14.38888888888889"
"5","no-visualization","500","10","395","18.364556962025315"
"1","no-visualization","100","19","78","34.80769230769231"
"1","no-visualization","100","20","77","36.36363636363637"
"6","no-visualization","600","7","514","16.118677042801558"
"5","no-visualization","500","11","382","19.222513089005236"
"1","no-visualization","100","21","77","37.44155844155844"
"3","no-visualization","300","17","207","29.198067632850243"
