"BehaviorSpace results (NetLogo 6.3.0)"
"Sugarscape 3 Wealth Distribution.nlogo"
"experiment"
"09/04/2023 22:16:08:992 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","count turtles","mean [sugar] of turtles"
"7","25","5","no-visualization","700","0","700","14.771428571428572"
"3","25","5","no-visualization","300","0","300","14.936666666666667"
"6","25","5","no-visualization","600","0","600","15.04"
"5","25","5","no-visualization","500","0","500","15.354"
"2","25","5","no-visualization","200","0","200","14.69"
"4","25","5","no-visualization","400","0","400","15.015"
"3","25","5","no-visualization","300","1","300","14.706666666666667"
"6","25","5","no-visualization","600","1","600","14.895"
"2","25","5","no-visualization","200","1","200","14.49"
"1","25","5","no-visualization","100","0","100","14.24"
"4","25","5","no-visualization","400","1","400","14.885"
"6","25","5","no-visualization","600","2","600","14.915"
"5","25","5","no-visualization","500","1","500","15.296"
"2","25","5","no-visualization","200","2","200","14.56"
"7","25","5","no-visualization","700","1","700","14.778571428571428"
"3","25","5","no-visualization","300","2","300","14.56"
"3","25","5","no-visualization","300","3","300","14.61"
"4","25","5","no-visualization","400","2","400","15.0175"
"2","25","5","no-visualization","200","3","200","14.92"
"5","25","5","no-visualization","500","2","500","15.374"
"3","25","5","no-visualization","300","4","300","14.9"
"7","25","5","no-visualization","700","2","700","14.751428571428571"
"6","25","5","no-visualization","600","3","600","14.77"
"2","25","5","no-visualization","200","4","200","15.635"
"8","25","5","no-visualization","800","0","800","15.15375"
"3","25","5","no-visualization","300","5","300","15.343333333333334"
"2","25","5","no-visualization","200","5","200","16.135"
"4","25","5","no-visualization","400","3","400","15.125"
"1","25","5","no-visualization","100","1","100","14.29"
"7","25","5","no-visualization","700","3","700","14.572857142857142"
"6","25","5","no-visualization","600","4","600","14.82"
"3","25","5","no-visualization","300","6","300","15.656666666666666"
"2","25","5","no-visualization","200","6","200","17.04"
"5","25","5","no-visualization","500","3","500","15.304"
"6","25","5","no-visualization","600","5","600","14.998333333333333"
"3","25","5","no-visualization","300","7","300","16.133333333333333"
"7","25","5","no-visualization","700","4","700","14.49"
"2","25","5","no-visualization","200","7","200","17.755"
"3","25","5","no-visualization","300","8","300","16.676666666666666"
"5","25","5","no-visualization","500","4","500","15.5"
"1","25","5","no-visualization","100","2","100","14.45"
"6","25","5","no-visualization","600","6","600","15.356666666666667"
"4","25","5","no-visualization","400","4","400","15.4425"
"8","25","5","no-visualization","800","1","800","14.9775"
"3","25","5","no-visualization","300","9","300","17.31"
"7","25","5","no-visualization","700","5","700","14.407142857142857"
"5","25","5","no-visualization","500","5","500","15.616"
"6","25","5","no-visualization","600","7","600","16.006666666666668"
"4","25","5","no-visualization","400","5","400","15.8775"
"3","25","5","no-visualization","300","10","300","17.69333333333333"
"6","25","5","no-visualization","600","8","600","16.283333333333335"
"3","25","5","no-visualization","300","11","300","18.32"
"1","25","5","no-visualization","100","3","100","15"
"4","25","5","no-visualization","400","6","400","16.06"
"8","25","5","no-visualization","800","2","800","14.7725"
"3","25","5","no-visualization","300","12","300","18.77"
"5","25","5","no-visualization","500","6","500","15.978"
"7","25","5","no-visualization","700","6","700","14.661428571428571"
"4","25","5","no-visualization","400","7","400","16.57"
"5","25","5","no-visualization","500","7","500","16.41"
"3","25","5","no-visualization","300","13","300","19.383333333333333"
"6","25","5","no-visualization","600","9","600","16.39"
"4","25","5","no-visualization","400","8","400","17.255"
"7","25","5","no-visualization","700","7","700","14.90857142857143"
"5","25","5","no-visualization","500","8","500","16.708"
"2","25","5","no-visualization","200","8","200","18.375"
"4","25","5","no-visualization","400","9","400","17.695"
"1","25","5","no-visualization","100","4","100","15.64"
"3","25","5","no-visualization","300","14","300","20.046666666666667"
"5","25","5","no-visualization","500","9","500","17.01"
"6","25","5","no-visualization","600","10","600","16.756666666666668"
"4","25","5","no-visualization","400","10","400","18.355"
"3","25","5","no-visualization","300","15","300","20.77"
"7","25","5","no-visualization","700","8","700","15.051428571428572"
"5","25","5","no-visualization","500","10","500","17.456"
"3","25","5","no-visualization","300","16","300","21.32"
"2","25","5","no-visualization","200","9","200","19.09"
"1","25","5","no-visualization","100","5","100","16.38"
"8","25","5","no-visualization","800","3","800","14.4825"
"2","25","5","no-visualization","200","10","200","19.6"
"2","25","5","no-visualization","200","11","200","20.495"
"4","25","5","no-visualization","400","11","400","19.1775"
"3","25","5","no-visualization","300","17","300","22.093333333333334"
"5","25","5","no-visualization","500","11","500","17.934"
"2","25","5","no-visualization","200","12","200","21.395"
"2","25","5","no-visualization","200","13","200","22.19"
"6","25","5","no-visualization","600","11","600","17.321666666666665"
"3","25","5","no-visualization","300","18","300","22.88"
"8","25","5","no-visualization","800","4","800","14.35375"
"4","25","5","no-visualization","400","12","400","19.8175"
"2","25","5","no-visualization","200","14","200","22.76"
"1","25","5","no-visualization","100","6","100","17.23"
"3","25","5","no-visualization","300","19","300","23.673333333333332"
"4","25","5","no-visualization","400","13","400","20.315"
"2","25","5","no-visualization","200","15","200","23.595"
"6","25","5","no-visualization","600","12","600","17.786666666666665"
"7","25","5","no-visualization","700","9","700","15.531428571428572"
"8","25","5","no-visualization","800","5","800","14.31875"
"2","25","5","no-visualization","200","16","200","24.66"
"4","25","5","no-visualization","400","14","400","20.925"
"2","25","5","no-visualization","200","17","200","25.465"
"6","25","5","no-visualization","600","13","600","18.345"
"7","25","5","no-visualization","700","10","700","16.02"
"2","25","5","no-visualization","200","18","200","26.105"
"2","25","5","no-visualization","200","19","200","27.085"
"5","25","5","no-visualization","500","12","500","18.558"
"8","25","5","no-visualization","800","6","800","14.355"
"6","25","5","no-visualization","600","14","600","18.753333333333334"
"2","25","5","no-visualization","200","20","200","28.08"
"7","25","5","no-visualization","700","11","700","16.548571428571428"
"1","25","5","no-visualization","100","7","100","18.14"
"5","25","5","no-visualization","500","13","500","19.038"
"2","25","5","no-visualization","200","21","200","28.87"
"8","25","5","no-visualization","800","7","800","14.3225"
"6","25","5","no-visualization","600","15","600","19.123333333333335"
"2","25","5","no-visualization","200","22","200","29.91"
"5","25","5","no-visualization","500","14","500","19.516"
"7","25","5","no-visualization","700","12","700","16.86857142857143"
"2","25","5","no-visualization","200","23","200","30.705"
"2","25","5","no-visualization","200","24","200","32.075"
"6","25","5","no-visualization","600","16","600","19.523333333333333"
"5","25","5","no-visualization","500","15","500","20.016"
"8","25","5","no-visualization","800","8","800","14.76625"
"2","25","5","no-visualization","200","25","200","32.885"
"7","25","5","no-visualization","700","13","700","17.375714285714285"
"2","25","5","no-visualization","200","26","200","33.75"
"5","25","5","no-visualization","500","16","500","20.516"
"6","25","5","no-visualization","600","17","600","20.053333333333335"
"2","25","5","no-visualization","200","27","200","34.725"
"7","25","5","no-visualization","700","14","700","17.75857142857143"
"1","25","5","no-visualization","100","8","100","19.18"
"4","25","5","no-visualization","400","15","400","21.5075"
"8","25","5","no-visualization","800","9","800","15.13125"
"5","25","5","no-visualization","500","17","500","21.094"
"2","25","5","no-visualization","200","28","200","35.58"
"4","25","5","no-visualization","400","16","400","22.0125"
"7","25","5","no-visualization","700","15","700","18.207142857142856"
"3","25","5","no-visualization","300","20","300","24.336666666666666"
"6","25","5","no-visualization","600","18","600","20.558333333333334"
"2","25","5","no-visualization","200","29","200","36.65"
"8","25","5","no-visualization","800","10","800","15.32"
"3","25","5","no-visualization","300","21","300","25.086666666666666"
"2","25","5","no-visualization","200","30","200","37.54"
"5","25","5","no-visualization","500","18","500","21.588"
"3","25","5","no-visualization","300","22","300","25.893333333333334"
"2","25","5","no-visualization","200","31","200","38.41"
"7","25","5","no-visualization","700","16","700","18.517142857142858"
"6","25","5","no-visualization","600","19","600","20.97"
"4","25","5","no-visualization","400","17","400","22.68"
"2","25","5","no-visualization","200","32","200","39.485"
"1","25","5","no-visualization","100","9","100","20"
"2","25","5","no-visualization","200","33","200","40.49"
"5","25","5","no-visualization","500","19","500","22.154"
"4","25","5","no-visualization","400","18","400","23.1625"
"2","25","5","no-visualization","200","34","200","41.37"
"8","25","5","no-visualization","800","11","800","15.7225"
"2","25","5","no-visualization","200","35","200","42.52"
"2","25","5","no-visualization","200","36","200","43.435"
"5","25","5","no-visualization","500","20","500","22.982"
"4","25","5","no-visualization","400","19","400","23.8725"
"2","25","5","no-visualization","200","37","200","44.46"
"3","25","5","no-visualization","300","23","300","26.73"
"2","25","5","no-visualization","200","38","200","45.405"
"5","25","5","no-visualization","500","21","500","23.59"
"7","25","5","no-visualization","700","17","700","18.91"
"6","25","5","no-visualization","600","20","600","21.593333333333334"
"8","25","5","no-visualization","800","12","800","16.2275"
"2","25","5","no-visualization","200","39","200","46.55"
"2","25","5","no-visualization","200","40","200","47.51"
"4","25","5","no-visualization","400","20","400","24.495"
"1","25","5","no-visualization","100","10","100","21.15"
"5","25","5","no-visualization","500","22","500","24.098"
"2","25","5","no-visualization","200","41","200","48.59"
"3","25","5","no-visualization","300","24","300","27.636666666666667"
"4","25","5","no-visualization","400","21","400","25.2675"
"8","25","5","no-visualization","800","13","800","16.66875"
"2","25","5","no-visualization","200","42","200","49.62"
"4","25","5","no-visualization","400","22","400","25.9025"
"5","25","5","no-visualization","500","23","500","24.464"
"3","25","5","no-visualization","300","25","300","28.43"
"2","25","5","no-visualization","200","43","200","50.58"
"8","25","5","no-visualization","800","14","800","17.01"
"4","25","5","no-visualization","400","23","400","26.5775"
"2","25","5","no-visualization","200","44","200","51.99"
"3","25","5","no-visualization","300","26","300","29.163333333333334"
"2","25","5","no-visualization","200","45","200","53.015"
"7","25","5","no-visualization","700","18","700","19.318571428571428"
"3","25","5","no-visualization","300","27","300","29.86"
"4","25","5","no-visualization","400","24","400","27.4575"
"2","25","5","no-visualization","200","46","200","54.04"
"8","25","5","no-visualization","800","15","800","17.3175"
"2","25","5","no-visualization","200","47","200","55.08"
"2","25","5","no-visualization","200","48","200","56.115"
"5","25","5","no-visualization","500","24","500","25.12"
"4","25","5","no-visualization","400","25","400","28.055"
"1","25","5","no-visualization","100","11","100","22.33"
"2","25","5","no-visualization","200","49","200","57.135"
"3","25","5","no-visualization","300","28","300","30.673333333333332"
"7","25","5","no-visualization","700","19","700","19.74142857142857"
"2","25","5","no-visualization","200","50","200","58.195"
"6","25","5","no-visualization","600","21","600","22.046666666666667"
"4","25","5","no-visualization","400","26","400","28.825"
"2","25","5","no-visualization","200","51","200","59.235"
"5","25","5","no-visualization","500","25","500","25.646"
"3","25","5","no-visualization","300","29","300","31.52"
"8","25","5","no-visualization","800","16","800","17.6725"
"6","25","5","no-visualization","600","22","600","22.598333333333333"
"4","25","5","no-visualization","400","27","400","29.46"
"2","25","5","no-visualization","200","52","200","60.455"
"5","25","5","no-visualization","500","26","500","26.032"
"3","25","5","no-visualization","300","30","300","32.24333333333333"
"2","25","5","no-visualization","200","53","200","61.5"
"7","25","5","no-visualization","700","20","700","20.298571428571428"
"4","25","5","no-visualization","400","28","400","30.1825"
"5","25","5","no-visualization","500","27","500","26.65"
