station_origin,station_destination,flows,population,jobs,distance
Abbey Road,Bank and Monument,0,599,78549,8131.525096865614
Abbey Road,Beckton,1,599,442,8510.121773990813
Abbey Road,Blackwall,3,599,665,3775.4488720769086
Abbey Road,Canary Wharf,1,599,58772,5086.514219664218
Abbey Road,Canning Town,37,599,15428,2228.923167329479
Abbey Road,Crossharbour,1,599,1208,6686.4755599490945
Abbey Road,Custom House,0,599,845,3824.8556298935837
Abbey Road,Cutty Sark,2,599,1748,8503.898908950134
Abbey Road,Cyprus,7,599,850,6532.099617537561
Abbey Road,Devons Road,1,599,611,3958.3241708373375
Abbey Road,East India,2,599,1522,3384.1416664747035
Abbey Road,Island Gardens,2,599,691,7706.296370375743
Abbey Road,King George V,5,599,800,6806.021039114694
Abbey Road,Langdon Park,8,599,1989,4810.672967127567
Abbey Road,Lewisham,0,599,2400,11213.451493924063
Abbey Road,Limehouse,2,599,2969,6154.537881349866
Abbey Road,London City Airport,4,599,1941,5777.444147788332
Abbey Road,Pontoon Dock,8,599,1123,4636.094118126441
Abbey Road,Poplar,0,599,1301,4498.407429529027
Abbey Road,Prince Regent,1,599,754,4349.342508702723
Abbey Road,Royal Albert,4,599,684,5237.76299118112
Abbey Road,Shadwell,1,599,7447,6583.570466259407
Abbey Road,South Quay,7,599,4591,6089.728056126759
Abbey Road,Star Lane,7,599,1052,1397.4940849962354
Abbey Road,Stratford,285,599,55954,1174.5113748307454
Abbey Road,Stratford High Street,10,599,788,655.2113012868256
Abbey Road,Stratford International,33,599,1546,2495.5794919443406
Abbey Road,West Ham,130,599,5487,533.8424216961312
Abbey Road,West Silvertown,2,599,893,3880.0482282542043
Abbey Road,Westferry,3,599,1250,5180.920874269913
Abbey Road,Woolwich Arsenal,32,599,4428,9235.296782443573
Acton Central,Barking,0,1224,7004,28856.336866212507
Acton Central,Blackhorse Road,0,1224,2955,19050.02049442779
Acton Central,Brondesbury,76,1224,712,6439.433521446914
Acton Central,Brondesbury Park,31,1224,895,5697.244849605368
Acton Central,Bushey,0,1224,456,20277.673720341558
Acton Central,Caledonian Road & Barnsbury,22,1224,1668,14032.398697329561
Acton Central,Camden Road,52,1224,3784,12267.820406842297
Acton Central,Canada Water,0,1224,20443,19290.442030281756
Acton Central,Canonbury,3,1224,846,15827.108490467841
