Rank,degree(nonseq),value,station_name,betweenness,station_name,closeness
1,940GZZLUKSX,7,Baker Street,0.3855940209518611,Green Park,0.09489685124864278
2,940GZZLUBST,7,Finchley Road,0.3126613902126677,Bond Street,0.09373659373659374
3,940GZZLUOXC,6,Liverpool Street,0.2703167971784267,Westminster,0.09319684367669012
4,940GZZLUGPK,6,West Hampstead,0.27026431255642097,Baker Street,0.09289965986394558
5,940GZZLUBNK,6,West Hampstead,0.2696240001679508,Waterloo,0.09238900634249471
6,940GZZLUECT,6,King's Cross St. Pancras,0.2585182541515336,Bank,0.092
7,940GZZLUWLO,6,Bank,0.22134864484705982,Oxford Circus,0.09161425576519916
8,940GZZLUTNG,5,Mile End,0.18641488044003107,Liverpool Street,0.09001029866117405
9,940GZZDLCGT,5,Oxford Circus,0.18177523985472258,Regent's Park,0.08927477017364657
10,940GZZLULVT,5,Bethnal Green,0.18066256586820062,Finchley Road,0.08916547643338094
